,STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry_x,location_id,Sensor Name,sensor_latitude,sensor_longitude,sensor_geometry,Hour,Value
38,19362,-37.755292,133-Moreland Station/Cameron St (Coburg),144.962119,1,6,POINT (320477.0334697549 5819380.006743712),,,,,,,
39,18588,-37.815756,25-Brook St/Church St (Hawthorn),145.020982,1,48,POINT (325805.01527679525 5812781.982738733),,,,,,,
40,18589,-37.817971,24-Hill St/Church St (Hawthorn),145.018753,1,48,POINT (325614.0004246241 5812532.03643024),,,,,,,
41,18591,-37.810726,65-Victoria St/Church St (Richmond),145.000624,1,78,POINT (324000.960000572 5813301.977390628),,,,,,,
42,18592,-37.812592,64-Elizabeth St/Church St (Richmond),145.000165,1,78,POINT (323964.98407366266 5813094.054253168),,,,,,,
43,18593,-37.814318,63-Tweedie Pl/Church St (Richmond),144.99988,1,78,POINT (323943.9847357458 5812901.9882150665),,,,,,,
44,18594,-37.815962,62-Highett St/Church St (Richmond),144.999574,1,78,POINT (323920.9538876737 5812718.9807552025),,,,,,,
45,18595,-37.818729,61-Bridge Rd/Church St (Richmond),144.999079,1,78,POINT (323883.9565967874 5812411.0102189705),,,,,,,
46,18596,-37.820302,60-Abinger St/Church St (Richmond),144.99881,1,78,POINT (323864.02449716715 5812235.951982708),,,,,,,
47,18597,-37.821838,59-St Ignatius Church/Church St (Richmond),144.998541,1,78,POINT (323844.00536651426 5812065.008229499),,,,,,,
48,18598,-37.824058,58-Gipps St/Church St (Richmond),144.998163,1,78,POINT (323816.0131933123 5811817.948059527),,,,,,,
49,18599,-37.825782,57-Swan St/Church St (Richmond),144.997821,1,78,POINT (323790.01190674084 5811625.993463676),,,,,,,
50,18601,-37.828972,55-Adelaide St/Church St (Cremorne),144.997269,1,78,POINT (323749.02813455055 5811270.975622948),,,,,,,
51,18602,-37.830331,54-Cotter St/Church St (Cremorne),144.997187,1,78,POINT (323745.0384407252 5811120.018174228),,,,,,,
52,19718,-37.818618,18-Church St/Bridge Rd (Richmond),144.999423,1,75,POINT (323913.9880256651 5812423.9730113875),,,,,,,
53,19718,-37.818618,18-Church St/Bridge Rd (Richmond),144.999423,1,48,POINT (323913.9880256651 5812423.9730113875),,,,,,,
54,18095,-37.816341,11-Jolimont Station-MCG/Wellington Pde (East Melbourne),144.984819,1,75,POINT (322622.98440646625 5812649.007093195),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
55,18095,-37.816341,11-Jolimont Station-MCG/Wellington Pde (East Melbourne),144.984819,1,48,POINT (322622.98440646625 5812649.007093195),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
56,18097,-37.81654,13-Simpson St/Wellington Pde (East Melbourne),144.986983,1,75,POINT (322813.9525465268 5812631.033405981),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
57,18097,-37.81654,13-Simpson St/Wellington Pde (East Melbourne),144.986983,1,48,POINT (322813.9525465268 5812631.033405981),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
58,18098,-37.817388,14-Punt Rd/Wellington Pde (Melbourne City),144.989675,1,75,POINT (323052.95946118917 5812542.040356215),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
59,18098,-37.817388,14-Punt Rd/Wellington Pde (Melbourne City),144.989675,1,48,POINT (323052.95946118917 5812542.040356215),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
60,18099,-37.817533,14-Punt Rd/Bridge Rd (Richmond),144.990217,1,75,POINT (323101.0310095786 5812526.97844813),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
61,18099,-37.817533,14-Punt Rd/Bridge Rd (Richmond),144.990217,1,48,POINT (323101.0310095786 5812526.97844813),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
62,18100,-37.816603,13-Simpson St/Wellington Pde (East Melbourne),144.98697,1,75,POINT (322812.9623545917 5812624.017977644),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
63,18100,-37.816603,13-Simpson St/Wellington Pde (East Melbourne),144.98697,1,48,POINT (322812.9623545917 5812624.017977644),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
64,18102,-37.816246,11-Jolimont Station-MCG/Wellington Pde (East Melbourne),144.983992,1,75,POINT (322549.96343322494 5812657.982549222),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
65,18102,-37.816246,11-Jolimont Station-MCG/Wellington Pde (East Melbourne),144.983992,1,48,POINT (322549.96343322494 5812657.982549222),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
66,18108,-37.819587,7B-Rod Laver Arena/MCG Gates 1-3 (Melbourne City),144.97913,1,70,POINT (322130.00253485783 5812277.999596327),110.0,Birrarung Marr East Entry,-37.82102867,144.97590204,POINT (321849.3106324128 5812111.867210876),,
67,18116,-37.822384,7C-MCG Gates 4-7/John Cain Arena (Melbourne City),144.98353,1,70,POINT (322524.00959327165 5811975.9964772705),110.0,Birrarung Marr East Entry,-37.82102867,144.97590204,POINT (321849.3106324128 5812111.867210876),,
68,18118,-37.824135,7D-Olympic Boulevard (Melbourne City),144.986857,1,70,POINT (322821.0271718097 5811788.007900838),,,,,,,
69,18155,-37.823827,7D-Olympic Boulevard (Melbourne City),144.986751,1,70,POINT (322810.97415124124 5811821.992339175),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
70,18161,-37.822137,7C-MCG Gates 4-7/John Cain Arena (Melbourne City),144.982798,1,70,POINT (322458.96421570226 5812002.008790378),110.0,Birrarung Marr East Entry,-37.82102867,144.97590204,POINT (321849.3106324128 5812111.867210876),,
71,18172,-37.819349,7B-Rod Laver Arena/MCG Gates 1-3 (Melbourne City),144.978421,1,70,POINT (322067.00327647215 5812303.054115151),110.0,Birrarung Marr East Entry,-37.82102867,144.97590204,POINT (321849.3106324128 5812111.867210876),,
72,18341,-37.817906,24-Grattan St/Church St (Hawthorn),145.018607,1,48,POINT (325601.0131487325 5812538.974720845),,,,,,,
73,18342,-37.815921,25-Brook St/Church St (Hawthorn),145.020602,1,48,POINT (325771.9696075386 5812762.968449598),,,,,,,
74,19706,-37.817909,15-Epworth Hospital/Bridge Rd (Richmond),144.993808,1,75,POINT (323418.03567901714 5812492.048557879),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
75,19706,-37.817909,15-Epworth Hospital/Bridge Rd (Richmond),144.993808,1,48,POINT (323418.03567901714 5812492.048557879),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
76,19708,-37.818361,17-Bosisto St/Bridge Rd (Richmond),144.996499,1,75,POINT (323655.99346896587 5812446.978748953),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
77,19708,-37.818361,17-Bosisto St/Bridge Rd (Richmond),144.996499,1,48,POINT (323655.99346896587 5812446.978748953),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
78,19709,-37.818472,18-Church St/Bridge Rd (Richmond),144.998791,1,75,POINT (323857.99385378044 5812438.989674172),,,,,,,
79,19709,-37.818472,18-Church St/Bridge Rd (Richmond),144.998791,1,48,POINT (323857.99385378044 5812438.989674172),,,,,,,
80,19710,-37.81875,19-Richmond Town Hall/Bridge Rd (Richmond),145.001374,1,75,POINT (324086.02705406665 5812413.008583983),,,,,,,
81,19710,-37.81875,19-Richmond Town Hall/Bridge Rd (Richmond),145.001374,1,48,POINT (324086.02705406665 5812413.008583983),,,,,,,
82,19711,-37.818977,20-Coppin St/Bridge Rd (Richmond),145.003571,1,75,POINT (324279.9666216588 5812391.947758141),,,,,,,
83,19711,-37.818977,20-Coppin St/Bridge Rd (Richmond),145.003571,1,48,POINT (324279.9666216588 5812391.947758141),,,,,,,
84,19712,-37.819535,21-Burnley St/Bridge Rd (Richmond),145.008873,1,75,POINT (324748.00776227843 5812339.99173751),,,,,,,
85,19712,-37.819535,21-Burnley St/Bridge Rd (Richmond),145.008873,1,48,POINT (324748.00776227843 5812339.99173751),,,,,,,
86,19713,-37.820099,22-Yarra Bvd/Bridge Rd (Richmond),145.01397,1,75,POINT (325197.99208662775 5812286.965713751),,,,,,,
87,19713,-37.820099,22-Yarra Bvd/Bridge Rd (Richmond),145.01397,1,48,POINT (325197.99208662775 5812286.965713751),,,,,,,
88,19714,-37.820152,22-Yarra Bvd/Bridge Rd (Richmond),145.013401,1,75,POINT (325148.0489054645 5812280.018705658),,,,,,,
89,19714,-37.820152,22-Yarra Bvd/Bridge Rd (Richmond),145.013401,1,48,POINT (325148.0489054645 5812280.018705658),,,,,,,
90,19715,-37.81948,21-Burnley St/Bridge Rd (Richmond),145.007772,1,75,POINT (324650.9720396616 5812344.037316776),,,,,,,
91,19715,-37.81948,21-Burnley St/Bridge Rd (Richmond),145.007772,1,48,POINT (324650.9720396616 5812344.037316776),,,,,,,
92,19716,-37.819083,20-Coppin St/Bridge Rd (Richmond),145.003977,1,75,POINT (324315.9634535976 5812380.9571512025),,,,,,,
93,19716,-37.819083,20-Coppin St/Bridge Rd (Richmond),145.003977,1,48,POINT (324315.9634535976 5812380.9571512025),,,,,,,
94,19717,-37.818813,19-Richmond Town Hall/Bridge Rd (Richmond),145.001372,1,75,POINT (324086.0181978794 5812406.014364887),,,,,,,
95,19717,-37.818813,19-Richmond Town Hall/Bridge Rd (Richmond),145.001372,1,48,POINT (324086.0181978794 5812406.014364887),,,,,,,
96,19719,-37.818219,17-Waltham St/Bridge Rd (Richmond),144.996639,1,75,POINT (323667.98273601587 5812463.002494676),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
97,19719,-37.818219,17-Waltham St/Bridge Rd (Richmond),144.996639,1,48,POINT (323667.98273601587 5812463.002494676),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
98,19734,-37.818023,15-Epworth Hospital/Bridge Rd (Richmond),144.993577,1,75,POINT (323397.9625823188 5812478.958151179),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
99,19734,-37.818023,15-Epworth Hospital/Bridge Rd (Richmond),144.993577,1,48,POINT (323397.9625823188 5812478.958151179),93.0,East Melbourne Library,-37.81498411,144.98638807,POINT (322757.8727599414 5812802.55815611),,
100,19736,-37.811313,23-Leslie St/Victoria St (Richmond),145.007617,1,12,POINT (324617.98375202797 5813249.995801639),,,,,,,
101,19736,-37.811313,23-Leslie St/Victoria St (Richmond),145.007617,1,109,POINT (324617.98375202797 5813249.995801639),,,,,,,
102,19740,-37.812878,27-Findon St/Barkers Rd (Hawthorn),145.020775,1,109,POINT (325780.0270187353 5813100.956611069),,,,,,,
103,20778,-37.820884,25-St James Park/Burwood Rd (Hawthorn),145.021027,1,75,POINT (325821.03280206997 5812213.0449696705),,,,,,,
104,20779,-37.820958,25-St James Park/Burwood Rd (Hawthorn),145.021115,1,75,POINT (325828.9706136126 5812204.990263466),,,,,,,
105,20780,-37.821453,26-Hawthorn Railway Station/Burwood Rd (Hawthorn),145.024817,1,75,POINT (326155.9839198219 5812156.959691251),,,,,,,
106,20781,-37.821287,26-Hawthorn Railway Station/Burwood Rd (Hawthorn),145.024583,1,75,POINT (326134.9968844325 5812174.949859124),,,,,,,
107,20782,-37.821747,27-Burwood Rd/Power St (Hawthorn),145.026275,1,75,POINT (326285.0106617968 5812127.055577254),,,,,,,
108,20783,-37.821468,27-Power St/Burwood Rd (Hawthorn),145.026282,1,75,POINT (326284.95846320165 5812158.027575006),,,,,,,
109,20784,-37.824778,28-Wattle Rd/Power St (Hawthorn),145.025865,1,75,POINT (326256.02755851834 5811789.955122886),,,,,,,
110,20785,-37.82491,28-Wattle Rd/Power St (Hawthorn),145.025713,1,75,POINT (326242.9654326486 5811775.02172764),,,,,,,
111,22560,-37.81995,23-Hawthorn Bridge/Bridge Rd (Hawthorn),145.016371,1,75,POINT (325409.00526862446 5812307.985427788),,,,,,,
112,22560,-37.81995,23-Hawthorn Bridge/Bridge Rd (Hawthorn),145.016371,1,48,POINT (325409.00526862446 5812307.985427788),,,,,,,
113,22561,-37.820019,23-Hawthorn Bridge/Bridge Rd (Hawthorn),145.016221,1,75,POINT (325395.95350138395 5812300.054841016),,,,,,,
114,22561,-37.820019,23-Hawthorn Bridge/Bridge Rd (Hawthorn),145.016221,1,48,POINT (325395.95350138395 5812300.054841016),,,,,,,
115,22903,-37.818167,7A-William Barak Bridge/Melbourne Park (Melbourne City),144.976204,1,70,POINT (321869.01861385664 5812429.986643778),127.0,Birrarung Marr - Federation Foot Bridge,-37.81849202,144.97367212,POINT (321646.9173551778 5812389.093043782),,
116,22904,-37.818323,7A-William Barak Bridge/Melbourne Park (Melbourne City),144.975825,1,70,POINT (321836.0243234125 5812411.956199273),127.0,Birrarung Marr - Federation Foot Bridge,-37.81849202,144.97367212,POINT (321646.9173551778 5812389.093043782),,
117,19087,-37.812254,64-Baker St/Church St (Richmond),145.000424,1,78,POINT (323986.99971058196 5813132.043493984),,,,,,,
118,19090,-37.818426,61-Bridge Rd/Church St (Richmond),144.999292,1,78,POINT (323901.99650697026 5812445.037983194),,,,,,,
119,19091,-37.820322,60-Abinger St/Church St (Richmond),144.998957,1,78,POINT (323877.0327356077 5812234.012578696),,,,,,,
120,19092,-37.821742,59-St Ignatius Church/Church St (Richmond),144.998714,1,78,POINT (323859.0192549536 5812075.980890229),,,,,,,
121,19093,-37.823727,58-Gipps St/Church St (Richmond),144.998354,1,78,POINT (323832.0518267758 5811855.040558062),,,,,,,
122,19094,-37.825551,57-Swan St/Church St (Richmond),144.998032,1,78,POINT (323808.0306033263 5811652.027939852),,,,,,,
123,19095,-37.826638,56-East Richmond Railway Station/Church St (Richmond),144.997843,1,78,POINT (323793.981263404 5811531.049363036),,,,,,,
124,19096,-37.828768,55-Gibbons St/Church St (Richmond),144.997456,1,78,POINT (323764.98717631656 5811293.9686334245),,,,,,,
125,19097,-37.830472,54-Balmain St/Church St (Richmond),144.996967,1,78,POINT (323726.01490001264 5811103.953416685),,,,,,,
126,19278,-37.824677,8-Richmond Station/Swan St (Richmond),144.989057,1,70,POINT (323015.99475942546 5811732.039094379),,,,,,,
127,19279,-37.82524,9-Lennox St/Swan St (Richmond),144.993484,1,70,POINT (323406.99216263485 5811677.951874968),,,,,,,
