location_id,cuisine
726464,japanese
1077929,italian
24123929,asian
13413015,italian
2637291,bar
2714775,american
21004847,asian
21387029,australian
9785078,vietnamese
728319,chinese
17739042,asian
4785677,italian
2060002,seafood
23158167,australian
734777,unknown
4890732,mediterranean
14082323,asian
6765132,japanese
734777,unknown
19620026,italian
9873628,australian
5102264,mexican
17739042,asian
13133825,chinese
757222,australian
3523745,steakhouse
12932984,american
5308723,italian
23364608,unknown
8645894,chinese
5067789,seafood
4786536,japanese
4791195,unknown
26698886,italian
9581521,cafe
15361483,cafe
3343773,steakhouse
2483527,australian
7314896,japanese
12413177,unknown
21049737,unknown
2319703,fast_food
6586270,unknown
23858960,japanese
13436999,greek
4176680,asian
20117835,cafe
17848207,unknown
2423547,american
15212053,australian
