cuisine,place_id,name,formatted_address,user_ratings_total,rating,geometry.location.lat,geometry.location.lng,price_level,suburb,delivery,dine_in,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,wheelchair_accessible_entrance,curbside_pickup
Indian,ChIJe4YrIZ1C1moRgWNJv1M4wy4,The Yarra Indian,"Unit 3/180 Toorak Rd, South Yarra VIC 3141, Australia",408,3.3,-37.8394467,144.9931728,1,South Yarra,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA
Bar,ChIJ-9kBvIJC1moRSgjbhSU_eLk,Imperial South Yarra,"522 Chapel St, South Yarra VIC 3141, Australia",782,4.3,-37.8415269,144.9953412,2,South Yarra,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
Asian,ChIJfdMGT1xD1moRNkKCEce-q80,7 ZAAB THAI RESTAURANT by OZZYTHAI,"Shop 1b/7 Yarra St, South Yarra VIC 3141, Australia",89,4.1,-37.8376755,144.9929301,NA,South Yarra,TRUE,TRUE,FALSE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Asian,ChIJY_Y6eiho1moRB0s9JERUDE0,Oriental Teahouse South Yarra,"455 Chapel St, South Yarra VIC 3141, Australia",982,4.5,-37.8437912,144.9944366,2,South Yarra,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
Italian,ChIJ8cuP6Cto1moRNca653r6fkk,Fratellino,"415 Malvern Rd, South Yarra VIC 3141, Australia",580,4.3,-37.8475773,145.0004532,1,South Yarra,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,TRUE,TRUE,TRUE,NA
Seafood,ChIJrVRewKFC1moRqurLpmm_Hy4,Bacash Restaurant,"175 Domain Rd, South Yarra VIC 3141, Australia",244,4.5,-37.834176,144.9819455,2,South Yarra,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,TRUE,FALSE,FALSE,FALSE
Chinese,ChIJfdJB1ZxC1moRL09Y_pAwjp8,Pacific Seafood BBQ House South Yarra,"Shop 1/210 Toorak Rd, South Yarra VIC 3141, Australia",806,4.2,-37.8394576,144.9941121,2,South Yarra,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,NA,TRUE,TRUE,FALSE,NA
Bar,ChIJ8fI8qJ1C1moR3GTCl4EW2y4,Cafe Republic.,"160 Toorak Rd, South Yarra VIC 3141, Australia",556,4.2,-37.839126,144.9914767,2,South Yarra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA
Chinese,ChIJx26XbJ5C1moR6HqMxAK-5ts,Tao Dumplings,"37 Toorak Rd, South Yarra VIC 3141, Australia",428,4.2,-37.8383738,144.9877473,2,South Yarra,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Japanese,ChIJG-XFUYNC1moR_1JQnQr2qns,Two Wrongs,"637 Chapel St, South Yarra VIC 3141, Australia",560,4.2,-37.8378552,144.9957191,2,South Yarra,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Italian,ChIJrXYP7oRC1moRKAtFEqBiyv8,A25 Pizzeria,"720 Chapel St, South Yarra VIC 3141, Australia",1138,4.3,-37.8365604,144.9964155,2,South Yarra,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Japanese,ChIJWWvkgmhD1moRXp8v2DveBsY,"Mr.Tam Asian Fusion Restaurant - Dating, Modern, Dining ,Sashimi, Sake, Whiskey","306 Toorak Rd, South Yarra VIC 3141, Australia",79,4.6,-37.8399738,144.9976091,NA,South Yarra,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE
Cafe,ChIJrUufwYNC1moRVKyp6OMEMUE,Verve Spice,"330 Toorak Rd, South Yarra VIC 3141, Australia",120,4.9,-37.8399543,144.9986252,NA,South Yarra,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,TRUE
Indian,ChIJEw3GpINC1moRSIyOw1VxXfg,Spice Club Indian Brasserie,"308 Toorak Rd, South Yarra VIC 3141, Australia",310,4.1,-37.8398826,144.9977266,2,South Yarra,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
