location_id,rating,num_reviews,price_level,cuisine
5021774,3.5,587,1,Other
2529032,4.0,53,3,Lebanese
2708603,4.0,456,3,Australian
14132082,4.0,4,3,Bar
3389693,4.5,35,3,Cafe
5018804,4.0,41,3,Bar
20831290,4.5,2,3,Pizza
6570695,4.5,534,3,Brazilian
725615,4.5,74,3,Cafe
8280071,4.0,36,3,Barbecue
17377806,4.5,3,3,Italian
257037,3.0,553,2,Other
24831835,4.5,3,3,African
5308687,4.5,65,3,Gastropub
4779472,4.0,30,3,Pizza
20376752,3.0,4,1,Other
1227463,3.5,58,3,Bar
727586,3.5,2,3,Other
3915938,3.5,148,1,Mexican
8483349,4.0,302,3,Chinese
26361526,4.0,1,3,Japanese
4775374,4.5,26,3,Bar
756537,4.0,206,3,Italian
2713169,4.5,81,3,Japanese
16726568,4.5,3,3,Asian
5106612,3.0,3,3,Other
2511491,4.5,431,3,Cafe
8861982,4.0,20,1,Fast_food
2483527,3.5,394,3,Australian
13113158,4.5,1226,3,Indian
8784793,4.0,1742,3,French
14935919,4.5,161,3,Peruvian
11894306,4.5,1121,3,Israeli
1388951,4.5,1372,3,French
7602594,3.5,149,3,Japanese
3169695,4.5,759,3,Italian
193123,4.5,4946,4,Other
7589353,4.5,207,3,Mediterranean
17385148,4.5,484,3,Italian
1018426,4.0,320,3,Italian
1017393,4.5,1381,3,Indian
719675,4.5,1406,4,European
2399478,4.0,364,3,Indian
733245,4.5,216,4,British
2470813,4.5,1671,3,Italian
1420213,4.5,829,3,British
13236559,3.5,108,3,Italian
733579,4.5,762,3,Italian
720981,4.5,1403,4,Indian
1016670,4.5,1973,3,Indian
19273823,4.5,77,3,French
23678169,4.0,22,3,Other
7314841,4.5,343,4,European
1010111,4.5,967,3,European
3456295,4.0,114,3,Italian
23735889,3.5,20,3,International
246023,4.0,269,3,Other
8564086,4.5,365,3,Seafood
19597706,3.5,231,3,Mediterranean
1089239,3.0,444,3,Asian
10079921,4.5,374,3,Filipino
788097,4.0,228,3,Japanese
6624139,4.5,670,3,Italian
1214896,4.0,1185,3,Seafood
23436064,4.5,21,3,Italian
3784979,4.5,1469,3,Steakhouse
2571962,4.0,1976,3,Lebanese
2179762,4.0,49,3,British
5992727,4.5,296,3,French
1044445,4.5,901,4,Chinese
10150587,4.5,219,3,Indian
8017474,4.0,281,3,Japanese
1017316,4.0,181,3,Italian
4925323,4.0,266,4,Japanese
23471336,3.5,6,3,Thai
734258,4.5,707,3,European
2011025,4.0,1158,3,Italian
14184416,3.5,130,4,Japanese
188474,4.5,369,3,Other
720385,4.0,120,1,Lebanese
1014102,4.5,71,3,British
2178357,4.0,1033,3,Italian
2307482,3.5,477,3,Chinese
10517649,4.5,1028,3,Fast_food
187550,3.5,5746,3,Other
3322305,4.0,101,3,Bar
8855999,4.5,2613,3,Other
1656751,4.5,1029,4,European
807510,4.0,561,3,Italian
6013062,4.0,689,3,Pizza
15343302,4.0,16,3,Lebanese
2334084,4.0,125,3,Steakhouse
9597889,3.5,48,3,Chinese
4791759,3.5,47,3,Lebanese
1014829,3.5,264,3,Steakhouse
722342,3.5,171,3,Indian
805770,3.5,99,3,Mediterranean
4373160,3.5,74,3,Asian
19140287,3.0,9,3,Mediterranean
12999960,4.5,29,3,Italian
19139921,4.5,8,3,Thai
3396530,4.5,145,3,Asian
4785103,4.0,59,3,Chinese
1014448,3.5,359,3,Italian
8736418,4.0,58,3,Bar
2318629,4.0,242,3,Bar
17615609,3.5,6,3,Japanese
12275529,3.5,51,1,Asian
13196451,0.0,0,3,Other
10466626,4.0,91,4,International
723201,4.0,489,3,Italian
724013,4.0,273,4,Italian
11712324,4.0,112,3,Steakhouse
4038885,4.5,283,3,Italian
944556,4.5,355,3,French
17713443,4.5,42,3,European
3350617,4.5,61,3,Italian
10441516,4.5,70,3,Steakhouse
724893,4.0,653,4,French
2616586,4.5,267,3,European
11906334,3.5,65,3,Cafe
967988,4.5,353,3,Steakhouse
5076484,4.0,106,3,Asian
13110532,4.0,78,3,Italian
2428166,4.0,165,3,Chinese
3733676,4.0,123,3,Asian
2658652,4.0,237,3,Australian
4471853,3.5,128,3,Italian
635984,0.0,0,3,Other
1064631,3.5,50,3,Italian
14154529,4.0,162,4,Caucasian
4026596,4.0,19,3,Japanese
23896196,4.0,4,3,Japanese
10842264,4.0,34,3,Vietnamese
11832441,4.0,197,3,International
12266538,4.5,22,3,Asian
11916570,4.5,48,3,Australian
5801506,4.0,85,3,Italian
9591194,4.5,89,3,Italian
2012164,4.5,92,3,Italian
3651666,3.5,24,1,Indian
15439909,3.0,10,3,Other
3184103,3.5,64,3,Bar
20234750,5.0,1,1,Asian
721711,4.0,166,3,Asian
2093053,4.0,85,3,Italian
1079578,4.5,208,4,Seafood
945182,4.0,165,3,Chinese
3377541,4.0,177,3,Bar
13214087,4.0,30,3,Chinese
8653215,3.5,30,3,Japanese
7744765,4.0,105,3,Italian
11831374,4.5,36,3,Japanese
6222854,4.5,29,3,Cafe
3861852,4.5,73,3,Indian
2060032,4.5,241,1,Seafood
23318864,4.5,17,3,Latin
