id,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,name,rating,number_of_bedrooms,number_of_beds,number_of_baths,suburb,price_class,Longitude,Latitude,geometry,nearby_stops
773102590690963072,279001183,MadeComfy,Melbourne,Entire home/apt,134,1,3,2023-01-22,0.36,250,361,3,Rental unit in Melbourne,4.67,Studio,1,1.0,Melbourne,medium,144.957957,-37.817664,POINT (320261.5509597979 5812450.847953802),"""3-William St/Bourke St (Melbourne City)"", ""5-Elizabeth St/Collins St (Melbourne City)"", ""3-William St/Collins St (Melbourne City)"", ""2-Flinders Lane/Market St (Melbourne City)"", ""1-Spencer St/Flinders St (Melbourne City)"", ""2-Melbourne Aquarium/Flinders St (Melbourne City)"", ""3-William St/Flinders Lane (Melbourne City)"", ""122-Southern Cross Railway Station/Spencer St (Melbourne City)"", ""3-Market St/Flinders St (Melbourne City)"", ""1-Flinders St/Queens Bridge St (Melbourne City)"", ""124-Batman Park/Spencer St (Melbourne City)"", ""4-Collins St/William St (Melbourne City)"", ""4-Queen St/Bourke St (Melbourne City)"", ""1-Spencer St/Bourke St (Melbourne City)"", ""1-Spencer St/Collins St (Melbourne City)"", ""5-Bourke St/William St (Melbourne City)"""
782386438526773504,139564996,Elaine,Melbourne,Entire home/apt,134,1,29,2023-07-23,3.72,6,52,29,Rental unit in Docklands,4.66,1,1,1.0,Docklands,medium,144.94093,-37.82001,POINT (318768.43065266614 5812157.615149931),"""D18-Bourke St/Collins St (Docklands)"", ""D17-Merchant St/Collins St (Docklands)"""
2428212,12402075,Joy,Melbourne,Entire home/apt,134,2,177,2023-07-06,1.56,1,273,27,Rental unit in Melbourne,4.83,1,2,1.0,Melbourne,medium,144.96541,-37.81651,POINT (320914.83595152217 5812593.219946617),"""5-Swanston St/Flinders St (Melbourne City)"", ""7-Russell St/Bourke St (Melbourne City)"", ""2-Collins St/Elizabeth St (Melbourne City)"", ""3-Bourke Street Mall/Elizabeth St (Melbourne City)"", ""6-Melbourne Town Hall/Collins St (Melbourne City)"", ""6-Russell St/Flinders St (Melbourne City)"", ""6-Swanston St/Bourke St (Melbourne City)"", ""1-Flinders Street Railway Station/Elizabeth St (Melbourne City)"", ""5-Elizabeth St/Collins St (Melbourne City)"", ""3-William St/Collins St (Melbourne City)"", ""2-Flinders Lane/Market St (Melbourne City)"", ""5-Elizabeth St/Bourke St (Melbourne City)"", ""3-Market St/Flinders St (Melbourne City)"", ""4-Queen St/Bourke St (Melbourne City)"", ""4-Elizabeth St/Flinders St (Melbourne City)"", ""13-Federation Square/Swanston St (Melbourne City)"", ""1-Flinders St/Queens Bridge St (Melbourne City)"", ""11-City Square/Swanston St (Melbourne City)"", ""10-Bourke Street Mall/Swanston St (Melbourne City)"""
21102784,34619398,Eduardo Luis,Melbourne,Entire home/apt,134,2,264,2023-08-28,3.68,9,300,47,Rental unit in Melbourne,4.71,2,2,1.0,Melbourne,medium,144.95794,-37.81377,POINT (320250.6080803096 5812882.9178177975),"""3-William St/Bourke St (Melbourne City)"", ""3-William St/Collins St (Melbourne City)"", ""4-Queen St/La Trobe St (Melbourne City)"", ""5-Elizabeth St/Bourke St (Melbourne City)"", ""3-Bourke Street Mall/Elizabeth St (Melbourne City)"", ""3-William St/La Trobe St (Melbourne City)"", ""4-Queen St/Bourke St (Melbourne City)"", ""4-Collins St/William St (Melbourne City)"", ""5-Melbourne Central Station/Elizabeth St (Melbourne City)"", ""2-King St/La Trobe St (Melbourne City)"", ""5-Elizabeth St/La Trobe St (Melbourne City)"", ""1-Spencer St/Bourke St (Melbourne City)"", ""8-Franklin St/William St (Melbourne City)"", ""7-Flagstaff Railway Station/William St (Melbourne City)"", ""5-Bourke St/William St (Melbourne City)"""
32022009,58393929,Alex,Melbourne,Entire home/apt,134,2,39,2023-08-18,0.7,20,225,15,Rental unit in Melbourne,4.62,1,2,1.0,Melbourne,medium,144.96156,-37.80868,POINT (320556.9624950512 5813454.695646344),"""7-Queen Victoria Market/Elizabeth St (Melbourne City)"", ""4-Queen St/La Trobe St (Melbourne City)"", ""8-Melbourne Central Station/Swanston St (Melbourne City)"", ""4-Queensberry St/Swanston St (Carlton)"", ""6-Swanston St/La Trobe St (Melbourne City)"", ""7-Russell St/La Trobe St (Melbourne City)"", ""5-Melbourne Central Station/Elizabeth St (Melbourne City)"", ""5-Elizabeth St/La Trobe St (Melbourne City)"", ""7-RMIT University/Swanston St (Melbourne City)"""
48985987,392306676,Rodelia,Melbourne,Entire home/apt,134,1,13,2023-08-08,0.44,69,354,8,Rental unit in Carlton,2.85,2,2,1.0,Carlton,medium,144.96421,-37.80538,POINT (320782.2862944063 5813825.970625464),"""7-Queen Victoria Market/Elizabeth St (Melbourne City)"", ""3-Lincoln Square/Swanston St (Carlton)"", ""6-Swanston St/La Trobe St (Melbourne City)"", ""4-Queensberry St/Swanston St (Carlton)"", ""7-Russell St/La Trobe St (Melbourne City)"", ""8-Exhibition St/La Trobe St (Melbourne City)"", ""7-RMIT University/Swanston St (Melbourne City)"""
700918995174276992,1739996,Paul & Dan,Melbourne,Entire home/apt,134,2,30,2023-09-01,2.5,98,174,30,Rental unit in Melbourne,4.73,2,2,1.0,South Yarra - West,medium,144.97781,-37.84185,POINT (322067.29283441766 5809805.041931225),"""24-Leopold St/St Kilda Rd (South Melbourne)"", ""25-Commercial Rd/St Kilda Rd (South Melbourne)"", ""23-Arthur St/St Kilda Rd (Melbourne City)"", ""25-Commercial Rd/St Kilda Rd (Melbourne City)"", ""24-Leopold St/St Kilda Rd (Melbourne City)"""
770806012458980864,306371578,Ming & Zhi,Melbourne,Entire home/apt,134,1,40,2023-08-13,4.76,16,147,40,Rental unit in Docklands,4.9,2,2,1.0,Docklands,medium,144.95414,-37.82124,POINT (319934.23882681096 5812046.679511813),"""D5-South Wharf/Wurundjeri Way (Docklands)"", ""2-Melbourne Aquarium/Flinders St (Melbourne City)"", ""122-Southern Cross Railway Station/Spencer St (Melbourne City)"", ""D15-Batman's Hill/Collins St (Docklands)"", ""124-Batman Park/Spencer St (Melbourne City)"", ""D6-Flinders Street West/Flinders St (Docklands)"", ""124A-Casino/MCEC/Clarendon St (Southbank)"", ""D14-Southern Cross Station/Collins St (Docklands)"", ""1-Spencer St/Bourke St (Melbourne City)"", ""D6-Victoria Police Centre/Flinders St (Southbank)"", ""1-Spencer St/Collins St (Melbourne City)"", ""1-Spencer St/Flinders St (Melbourne City)"""
845769782662108416,40455436,S&S,Melbourne,Entire home/apt,134,1,5,2023-07-28,1.04,34,250,5,Rental unit in Melbourne,4.6,1,2,1.0,Melbourne,medium,144.9529559,-37.8157157,POINT (319816.5746129033 5812657.407303858),"""3-William St/Bourke St (Melbourne City)"", ""1-Spencer St/La Trobe St (Melbourne City)"", ""120-Lonsdale St/Spencer St (Melbourne City)"", ""122-Southern Cross Railway Station/Spencer St (Melbourne City)"", ""119-Spencer St/La Trobe St (Melbourne City)"", ""D14-Southern Cross Station/Collins St (Docklands)"", ""119-La Trobe St/Spencer St (Melbourne City)"", ""2-King St/La Trobe St (Melbourne City)"", ""1-Spencer St/Bourke St (Melbourne City)"", ""1-Spencer St/Collins St (Melbourne City)"", ""7-Flagstaff Railway Station/William St (Melbourne City)"", ""5-Bourke St/William St (Melbourne City)"""
30021740,225655756,明嘉,Melbourne,Entire home/apt,134,1,6,2019-01-23,0.1,1,0,0,Rental unit in Carlton,4.33,2,3,1.0,Melbourne,medium,144.96288,-37.80752,POINT (320670.36710669094 5813585.951073086),"""7-Queen Victoria Market/Elizabeth St (Melbourne City)"", ""8-Melbourne Central Station/Swanston St (Melbourne City)"", ""6-Swanston St/La Trobe St (Melbourne City)"", ""7-Russell St/La Trobe St (Melbourne City)"", ""7-RMIT University/Swanston St (Melbourne City)"", ""5-Melbourne Central Station/Elizabeth St (Melbourne City)"", ""5-Elizabeth St/La Trobe St (Melbourne City)"", ""4-Queensberry St/Swanston St (Carlton)"""
