id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32042979,Rental unit in Melbourne · 1 bedroom · 1 bed · 1 shared bath,110489778,Benedict,,Melbourne,-37.81606,144.96084,Private room,450,1,0,,,1,180,0,
32197764,Home in South Melbourne · 3 bedrooms · 3 beds · 2 baths,241601330,Kylie,,Port Phillip,-37.83697,144.95086,Entire home/apt,1000,3,0,,,1,0,0,
32449265,Rental unit in Southbank · ★4.86 · 2 bedrooms · 2 beds · 1 bath,4062343,Lee,,Melbourne,-37.82835,144.95643,Entire home/apt,196,14,84,2020-08-01,1.53,2,0,0,
32046959,Home in Craigieburn · ★4.56 · 6 bedrooms · 5 beds · 2 shared baths,234261484,Kale,,Hume,-37.58931,144.90035,Private room,68,2,18,2023-06-12,0.32,3,178,4,
32198384,Rental unit in Docklands · 2 bedrooms · 2 beds · 1 shared bath,46599016,Jane,,Melbourne,-37.81563,144.94771,Private room,60,60,0,,,1,0,0,
32050161,Home in Westmeadows · ★4.89 · 1 bedroom · 1 bed · 1 private bath,111829878,Joel,,Hume,-37.68097,144.88951,Private room,99,1,350,2023-08-26,6.32,1,88,73,
32201288,Rental unit in Southbank · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,140030299,Kenan,,Melbourne,-37.82209,144.9638,Private room,58,2,7,2019-09-07,0.13,2,0,0,
32224670,Rental unit in Port Melbourne · ★5.0 · 1 bedroom · 1 bed · 1 bath,96222476,Matthew,,Port Phillip,-37.84267,144.9406,Entire home/apt,132,1,3,2019-03-17,0.05,1,0,0,
32450817,Rental unit in Doncaster · ★4.93 · 3 bedrooms · 3 beds · 2 baths,242418632,Fabuliving,,Manningham,-37.78953,145.12344,Entire home/apt,160,1,14,2021-03-06,0.25,14,0,0,
32053907,Rental unit in Melbourne · 1 bedroom · 1 bed · 1 bath,167871586,Khushman,,Melbourne,-37.81894,144.96669,Entire home/apt,50,1,0,,,1,0,0,
32056556,Home in Elsternwick · 2 bedrooms · 2 beds · 1.5 baths,12336579,Tony,,Glen Eira,-37.87922,145.00026,Entire home/apt,112,7,1,2019-03-07,0.02,1,0,0,
32451990,Rental unit in Saint Kilda · ★4.84 · 2 bedrooms · 3 beds · 1.5 baths,34620204,Jayden,,Port Phillip,-37.85981,144.98322,Entire home/apt,175,28,63,2023-05-31,1.16,1,273,8,
32070209,Rental unit in Melbourne · ★3.67 · 1 bedroom · 1 bed · 1 bath,158532016,Akash,,Port Phillip,-37.8485,144.97973,Entire home/apt,480,3,3,2019-03-08,0.05,1,89,0,
32453036,Rental unit in Saint Kilda · ★4.87 · 1 bedroom · 1 bed · 1 bath,150208574,Ronnie,,Port Phillip,-37.86425,144.98705,Entire home/apt,150,2,31,2023-06-25,0.56,1,88,17,
32471988,Rental unit in Glen Iris · ★4.45 · 2 bedrooms · 3 beds · 1 bath,299609324,Matthew,,Stonnington,-37.8546,145.05303,Entire home/apt,123,3,83,2023-08-14,1.53,28,307,28,
