"business_status","formatted_address","icon","icon_background_color","icon_mask_base_uri","name","photos","place_id","price_level","rating","reference","types","user_ratings_total","geometry.location.lat","geometry.location.lng","geometry.viewport.northeast.lat","geometry.viewport.northeast.lng","geometry.viewport.southwest.lat","geometry.viewport.southwest.lng","opening_hours.open_now","plus_code.compound_code","plus_code.global_code"
"OPERATIONAL","132 Wellington Parade, East Melbourne VIC 3002, Australia","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Il Duca","list(height = 800, html_attributions = list(\"<a href=\\"https://maps.google.com/maps/contrib/101607293920099359496\\">IL Duca Restaurant</a>\"), photo_reference = \"ATJ83zjvgKJqY8OH_dnyIK06h4UJtrDhzO31PLZQaKvY2Q3rzFUfO9iFfZe9MBnRQhN7ksemOIqT9a2UNJtwuw69ENe0Klm_rBl-wKmvDOyA-IXr-Pkn4BFFE92Kpj65diBhStcL_L9a8VduJwu-ajotqD86I_BOf2252utzeMhrvutUxw7Y\", width = 1200)","ChIJt4ctMupC1moR7Opig3NrfSg",2,4.4,"ChIJt4ctMupC1moR7Opig3NrfSg","c(\"restaurant\", \"food\", \"point_of_interest\", \"establishment\")",250,-37.8162904,144.9857104,-37.8149714701073,144.987034679893,-37.8176711298927,144.984335020107,TRUE,"5XMP+F7 East Melbourne, Victoria","4RJ65XMP+F7"
"OPERATIONAL","78A Wellington Parade, East Melbourne VIC 3002, Australia","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Geppetto Trattoria","list(height = 5760, html_attributions = list(\"<a href=\\"https://maps.google.com/maps/contrib/110616586086487627748\\">Geppetto Trattoria</a>\"), photo_reference = \"ATJ83zgcJL_f__2F_700uPXcS8brGfqREVCyqnstvL3k6GIi_i-Q_HbDZBc-dIYD0wOin6e1ikADpOyUXleRaQnpa55pkAibqvKTPphJbetpSN9_aZvpqOT2BRdbOuM6dAjn3oZnssqCYU1fipGL-eMYjxF1Rji-lF_8xEMSMDCCl8z7SMrP\", width = 3840)","ChIJW5Nn5-tC1moR1KnPe_szKQs",2,4.7,"ChIJW5Nn5-tC1moR1KnPe_szKQs","c(\"meal_takeaway\", \"restaurant\", \"food\", \"point_of_interest\", \"establishment\")",474,-37.8164787,144.9873637,-37.8151616701073,144.988703729893,-37.8178613298927,144.986004070107,TRUE,"5XMP+CW East Melbourne, Victoria","4RJ65XMP+CW"
"OPERATIONAL","58 Wellington Parade, East Melbourne VIC 3002, Australia","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","The Tippler & Co.","list(height = 4016, html_attributions = list(\"<a href=\\"https://maps.google.com/maps/contrib/102503161443255406952\\">The Tippler &amp; Co.</a>\"), photo_reference = \"ATJ83zhUcoMeOhhr5HHrsT_zd70X1F861OYDWdMjHqWkxcNVv5xPhlgNugMSKk1T4QL0aNA68IJIpyZeIUJt-K_5MLe2ZW7w2YEgXmhA3VHymwcUK0yp8Agh-ME7ah98Kkc-ThDAiiG0QLNCPT-KYLJ_sRUuMOXkotp6mUYIKpAsSus-lyBs\", width = 6016)","ChIJoQ71_OtC1moREoPyA323sjY",2,4.6,"ChIJoQ71_OtC1moREoPyA323sjY","c(\"restaurant\", \"food\", \"bar\", \"point_of_interest\", \"establishment\")",429,-37.8165595,144.9882328,-37.8152545701073,144.989572679893,-37.8179542298927,144.986873020107,TRUE,"5XMQ+97 East Melbourne, Victoria","4RJ65XMQ+97"
"OPERATIONAL","150 Wellington Parade, East Melbourne VIC 3002, Australia","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Hemingway's Wine Room","list(height = 3024, html_attributions = list(\"<a href=\\"https://maps.google.com/maps/contrib/108737972659696452585\\">James Bae</a>\"), photo_reference = \"ATJ83zh4BI-jxcaihGSKlm7GvRniq8LguiwvolCe5MDKsfCbXTjQR4AskwWk0tK-5zaO1hXHx5EYmXIhrXoYWcO6MSs9qfJvDuQ5qaKDd67a-La71nCkb01uJSposZD6u2ApCkv6XnQXyc32nHGXndTkuejQFPGsNxcE6WdlawAVBY4DpI3i\", width = 4032)","ChIJdfMFMHVD1moRte8-aR1ODjg",NA,4.5,"ChIJdfMFMHVD1moRte8-aR1ODjg","c(\"restaurant\", \"food\", \"bar\", \"point_of_interest\", \"establishment\")",130,-37.8161944,144.9849334,-37.8148122201073,144.986314379893,-37.8175118798927,144.983614720107,TRUE,"5XMM+HX East Melbourne, Victoria","4RJ65XMM+HX"
"OPERATIONAL","137 Wellington Parade S, East Melbourne VIC 3002, Australia","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Bedggood & Co.","list(height = 3024, html_attributions = list(\"<a href=\\"https://maps.google.com/maps/contrib/111966233799331801315\\">Ania</a>\"), photo_reference = \"ATJ83zgZ-l6qpfsIvWkIFvjsIcoDw4Ovf3rAuVKtee63oETanxjmN2Ak6Hi9o5tnlyusdYJoWYuQmpasFzpNorXohcTGsOD8BnmevU7qhyNu0XVpm9kfcXGocFwT6KydPSQBCzUvx-xHCZSZflqxOqk_rf8AvRbY3Z1OSks0yiQP4Q9fxDpE\", width = 4032)","ChIJo6MB88BC1moR1v_Nuo7gZrA",2,4.6,"ChIJo6MB88BC1moR1v_Nuo7gZrA","c(\"restaurant\", \"store\", \"food\", \"point_of_interest\", \"establishment\")",317,-37.8168041,144.9800473,-37.8153802201073,144.981410429893,-37.8180798798927,144.978710770107,FALSE,"5XMH+7X East Melbourne, Victoria","4RJ65XMH+7X"
"OPERATIONAL","5/412-442 Victoria Parade, East Melbourne VIC 3002, Australia","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet","Grocery Bar East Melbourne","list(height = 2448, html_attributions = list(\"<a href=\\"https://maps.google.com/maps/contrib/115978833952739047899\\">Gavi Munasinghe</a>\"), photo_reference = \"ATJ83zgTV6NfuwNNTaM5kt1ZSMgHgHamaK1fzu5bv7WVGtk25WSxpkvpXVsPO1V9GfqBzJSsWzZXFJRf6Ti_6tVCknYlCbQnLF9ZOZk8APbcCS19qsDBI_sBEEFzJKhzvSwUoNj9BKE_d1PK2d82Hhe4cfIPloaq9d7UAp4pPZP5i0LR0g5T\", width = 3264)","ChIJ_wbFyedC1moRXHca2d3Oj-o",2,4.2,"ChIJ_wbFyedC1moRXHca2d3Oj-o","c(\"cafe\", \"store\", \"restaurant\", \"food\", \"point_of_interest\", \"establishment\")",138,-37.8099179,144.985236,-37.8083352201073,144.986624879893,-37.8110348798927,144.983925220107,FALSE,"5XRP+23 East Melbourne, Victoria","4RJ65XRP+23"
"OPERATIONAL","158 Clarendon St, East Melbourne VIC 3002, Australia","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Roccella","list(height = 4032, html_attributions = list(\"<a href=\\"https://maps.google.com/maps/contrib/116559618334907517520\\">Barry Tang</a>\"), photo_reference = \"ATJ83zilfnuV5PdRvTwkZhznPkd_n_rfFJNH8aKx3rtU8e3sDsF1HnZX2t4ZhsR_1p2UhEENBXkRABvydyKkIkuftI7-TQ8V_DWAZYE360nyu9XIOHCBjgMAdzboi1DByEMtKw0Fw513BcZUu6MgJ-ezzxIco_SuvC9n9RvTgXvZJ-8PC5Ux\", width = 3024)","ChIJiWZcQlZD1moReLf1KVvQ98M",2,4.7,"ChIJiWZcQlZD1moReLf1KVvQ98M","c(\"meal_takeaway\", \"meal_delivery\", \"cafe\", \"store\", \"restaurant\", \"food\", \"point_of_interest\", \"establishment\")",923,-37.8119728,144.9835404,-37.8104621701073,144.984883429893,-37.8131618298927,144.982183770107,NA,"5XQM+6C East Melbourne, Victoria","4RJ65XQM+6C"
"OPERATIONAL","Ground Floor/74 Wellington Parade, East Melbourne VIC 3002, Australia","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Pokapoka Japanese Kitchen","list(height = 1080, html_attributions = list(\"<a href=\\"https://maps.google.com/maps/contrib/112423707559110818374\\">A Google User</a>\"), photo_reference = \"ATJ83zjBbHSU5uM_GgYJ6Q8bRUZ2xOyMQTzTnwD3RRBUquZNsfDNKORdOyOXXC5f395SSHbU6Rym7ZCZi29lEfjoMrhkpxTve5UHPARhqp0JjxtCox0msKaaWSCdakiknQVXTalAxyGrv1TwNn3ibzpVqYVGm3VVZDf0TzYmDufV8ngxAmGC\", width = 1440)","ChIJ6ZOWYbdD1moRwHlgVHJwpnU",NA,4.6,"ChIJ6ZOWYbdD1moRwHlgVHJwpnU","c(\"restaurant\", \"food\", \"point_of_interest\", \"establishment\")",60,-37.8165009,144.9876132,-37.8151805201073,144.988955429893,-37.8178801798927,144.986255770107,TRUE,"5XMQ+C2 East Melbourne, Victoria","4RJ65XMQ+C2"
"OPERATIONAL","412-442 Victoria Parade, East Melbourne VIC 3002, Australia","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","Tribeca Pizza Pasta Bar","list(height = 3024, html_attributions = list(\"<a href=\\"https://maps.google.com/maps/contrib/107673328682031462394\\">Debi Slinger</a>\"), photo_reference = \"ATJ83ziVBXVjyznhLjGxd6LBLld565RkWnonfliPJ0vicuTe5wNXsy_0mph3m_OFrpRzsfBYQ7gk3z30mXAXX2Vb2JjIqMlQdAp3eHQCbD9aW4e5CbSenHnT-ZluzJunrnmSV6sbi7-nQj38O-nsO6TdX9ddJFcuJOoTX-W-de2VzfWzUHqr\", width = 4032)","ChIJ_wbFyedC1moRsgKzQvFcTwc",2,2.3,"ChIJ_wbFyedC1moRsgKzQvFcTwc","c(\"meal_takeaway\", \"meal_delivery\", \"store\", \"restaurant\", \"food\", \"bar\", \"point_of_interest\", \"establishment\")",123,-37.809918,144.985236,-37.8083352701073,144.986624879893,-37.8110349298927,144.983925220107,TRUE,"5XRP+23 East Melbourne, Victoria","4RJ65XRP+23"
"OPERATIONAL","192 Wellington Parade, East Melbourne VIC 3002, Australia","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png","#FF9E67","https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet","The Cliveden Bar & Dining","list(height = 683, html_attributions = list(\"<a href=\\"https://maps.google.com/maps/contrib/106597774952660992058\\">A Google User</a>\"), photo_reference = \"ATJ83zjdD8XT1OEmzkgB3IZ9AeLobyTYVnu17W-b3cf3qJzr4SDO_9-OhH0cXsL-tXrb7Clk-2GuhkvvIEshldIAecvlrHzdLMMk2SWzkm57vrGaAmSxZQnFV_EMHdv7CP2ybHNhrzUya_q29pjZUJZNo7rz0PR3NIWoewiEicuutL7T5AVw\", width = 1024)","ChIJnUqrC-pC1moRSaUlor_B3vs",1,3.9,"ChIJnUqrC-pC1moRSaUlor_B3vs","c(\"restaurant\", \"food\", \"bar\", \"point_of_interest\", \"establishment\")",63,-37.8158384,144.9833177,-37.8146152201073,144.984649279893,-37.8173148798927,144.981949620107,TRUE,"5XMM+M8 East Melbourne, Victoria","4RJ65XMM+M8"
