latitude,longitude,type,info,category,female,male,wheelchair,operator,baby_facil,address,name,geometry,location_id
-37.8175239427856,144.96013037555608,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.96013037555608 -37.8175239427856),36
-37.80225790808832,144.96613628041044,Stainless Steel Drinking Fountain / Leaf Type,Argyle Square,drinking_fountains,,,,,,,,POINT (144.96613628041044 -37.80225790808832),112
-37.81600551227767,144.9651330881475,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.9651330881475 -37.81600551227767),53
-37.79924850919621,144.9504177251165,Leaf Type / Dog Bowl ,Errol Street Reserve,drinking_fountains,,,,,,,,POINT (144.9504177251165 -37.79924850919621),86
-37.82123671455052,144.97077057669242,Historic or Heritage Drinking Fountains / Queen Victoria Gardens,,drinking_fountains,,,,,,,,POINT (144.97077057669242 -37.82123671455052),28
-37.79922710932603,144.94028139112405,Stainless Steel Drinking Fountain / Leaf Type,North Melbourne Recreation Reserve,drinking_fountains,,,,,,,,POINT (144.94028139112405 -37.79922710932603),86
-37.80056485451508,144.9668454274885,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.9668454274885 -37.80056485451508),31
-37.81033905955521,144.9724239787079,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.9724239787079 -37.81033905955521),40
-37.805018324001324,144.94911036775298,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.94911036775298 -37.805018324001324),87
-37.79009686226306,144.9257559567742,Historic or Heritage Drinking Fountains / Liddy Street Reserve (KENSINGTON),,drinking_fountains,,,,,,,,POINT (144.9257559567742 -37.79009686226306),103
-37.7981300933256,144.9217175971122,Treated Timber Drinking Fountain / JJ Holland Park,,drinking_fountains,,,,,,,,POINT (144.9217175971122 -37.7981300933256),85
-37.81261776692698,144.9683505786709,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.9683505786709 -37.81261776692698),21
-37.80626983275522,144.95806339729006,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.95806339729006 -37.80626983275522),48
-37.81812625933699,144.9458429589375,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.9458429589375 -37.81812625933699),10
