tree_common_name,tree_scientific_name,date_of_tree_planted,latitude,longitude,title,category
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82755203645585,144.9719667540487,106th tank attack regiment a.i.f.,plaques
Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.82881385726491,144.97374076430089,western europe r.a.a.f.,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83089381136321,144.9742040148821,hmas warramunga tribal destroyer,plaques
Monterey Cypress,Hesperocyparis macrocarpa,2000-01-02,-37.82891804472874,144.97355294488102,pakistan,plaques
River Sheoak,Casuarina cunninghamiana,1998-07-09,-37.83268169680647,144.97331122974452,central bureau and its field units,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.83211188501216,144.9730652646708,raaf catalina squadrons and associated flying boat units,plaques
Tasmainian Blue Gum,Eucalyptus globulus,1998-07-09,-37.82845799270287,144.97334341084036,australia,plaques
Cyprus Plane,Platanus orientalis Digitata,1998-07-09,-37.83171771275533,144.97357314779143,no 86 attack wing raaf,plaques
Stone Pine,Pinus pinea,2010-08-30,-37.83141323463639,144.9723395986132,new zealand ships of the far east strategic reserve,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.827752575077355,144.9720572685506,4th/19th prince of wales's light horse regiment,plaques
Kauri New Zealand,Agathis australis,2014-10-03,-37.82924084108965,144.97346367178002,anzacs,plaques
Jacaranda,Jacaranda mimosifolia,2010-08-30,-37.832358127442454,144.97269084211308,"boer war state colonial contingents, australian commonwealth horse",plaques
Moreton Bay Fig,Ficus macrophylla,1998-08-09,-37.83271178597667,144.9741955314763,33 - 38 squadrons,plaques
London Plane,Platanus acerifolia,1998-07-09,-37.83152430986326,144.9733735802183,australian component of the british commonwealth occupation force military occupation of japan,plaques
English Elm,Ulmus procera,1998-07-09,-37.82885439635063,144.97234238948485,39 aust. infantry battalion,plaques
Golden Poplar,Populus x canadensis,1998-07-09,-37.83124298440094,144.97247458302422,australian army training team vietnam,plaques
Golden Elm,Ulmus glabra Lutescens,2000-01-02,-37.83192928709073,144.97350907055616,special air service,plaques
Flame Tree,Brachychiton acerifolius,2017-04-11,-37.83046902995829,144.9745044552407,18 squadron nei-raaf forces association,plaques
Pohutukawa,Metrosideros excelsa,1998-04-09,-37.831227642688,144.97421658524627,new zealand expeditionary force,plaques
Lemon Scented Gum,Corymbia citriodora,1998-07-09,-37.82942067687922,144.97374938662193,39th battalion,plaques
Red Oak,Quercus rubra,2010-08-30,-37.829090421727706,144.9737770547481,polish armed forces,plaques
Monterey Cypress,Hesperocyparis macrocarpa,1998-04-09,-37.83125922555673,144.97493664686232,"h.m.a. ships minesweeper terka, service adele survey vessel watcher, lugger",plaques
Moreton Bay Fig,Ficus macrophylla,2014-10-28,-37.83013109907542,144.97431122735125,south-west pacific r.a.a.f.,plaques
River Red Gum,Eucalyptus camaldulensis,1998-07-09,-37.830159680351194,144.9720506708567,royal australian regiment representing all past and present battalions,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83003541319421,144.9739980967705,86 squadron r.a.a.f.,plaques
Cork Oak,Quercus suber,2012-07-03,-37.83123205663128,144.97447836090356,the r.a.n. 1914 landing party,plaques
Bhutan Cypress,Cupressus torulosa,2015-04-15,-37.8305743547078,144.97430410326152,war widows & widowed mothers association,plaques
Lemon Scented Gum,Corymbia citriodora,2011-08-15,-37.82911989596995,144.97389259299842,r.a.a.f. south-east asia,plaques
Algerian Oak,Quercus canariensis,1998-07-09,-37.83194895216538,144.97250524956758,2/2nd heavy anti-aircraft regiment,plaques
English Elm,Ulmus procera,1998-07-09,-37.82828049916936,144.97214188808863,4th reserve m.t. company 2nd aif,plaques
English Elm,Ulmus procera,1998-07-09,-37.82812531677771,144.9720791030953,"9th australian division, 2nd a.i.f.",plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.830194123206304,144.9726900865175,2/14 battalion,plaques
Monterey Cypress,Hesperocyparis macrocarpa,1998-04-09,-37.83125850518306,144.97463807046054,h.m.a. motor launches lost in world war ii,plaques
Willow myrtle,Agonis flexuosa,2010-08-30,-37.82973252355115,144.9719198889321,2nd field brigade field artillery. 2nd field regiement (a.i.f),plaques
English Elm,Ulmus procera,1998-07-09,-37.82797678758966,144.97253342964848,10th light trench mortar battery,plaques
,,,-37.82740000775689,144.97368343664584,lord mayor of london sir peter gadsden,plaques
,,,-37.83118763910922,144.9732955321061,the new guinea women's association melbourne,plaques
Willow myrtle,Agonis flexuosa,2010-08-30,-37.82980122626955,144.97197936181382,2/8th australian infantry battalion,plaques
English Elm,Ulmus procera,1998-07-09,-37.82857363760003,144.97228758613943,i aust. coprs petrol park,plaques
English Elm,Ulmus procera,1998-07-09,-37.82812978046782,144.97259991113634,54th battery field artillery,plaques
Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.83028997156275,144.97195018590128,3rd division australian army service corps,plaques
English Elm,Ulmus procera,1998-07-09,-37.82753326667741,144.97232106592259,6th field artillery brigade,plaques
Stone Pine,Pinus pinea,2010-08-30,-37.82973960734035,144.9721898801384,29/46 battalion,plaques
Flame Tree,Brachychiton acerifolius,2011-09-06,-37.83096349231864,144.974964730291,american forces,plaques
Lilly-Pilly,Syzygium floribundum,2000-01-02,-37.831169044628304,144.97507966174715,the womens royal australian naval service (w.r.a.n.s.),plaques
Algerian Oak,Quercus canariensis,1998-03-09,-37.83204150174851,144.9749399126175,hmas sydney,plaques
Japanese Chestnut Oak,Quercus acutissima,2010-09-10,-37.831151637928464,144.97466496697083,hmas matafele,plaques
Japanese Chestnut Oak,Quercus acutissima,2012-07-03,-37.8316211795576,144.97532158490654,h.m.a.s. kiama,plaques
Liquidamber or Sweet Gum,Liquidambar styraciflua,1998-04-09,-37.83054257876455,144.97474093206603,reprresenting u.s.a.,plaques
UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,-37.82900840028477,144.97171941237835,2/11 field regiment,plaques
Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.830780267751344,144.972147071303,royal australian army ordnance corps,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.831045775791154,144.97288094922587,royal australian armoured corps association victorian branch,plaques
Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.83027033914008,144.97206604725383,2/2 pioneer battalion,plaques
,,,-37.83049612804582,144.9721575779613,australia independent companies commando squadrons m & z special units,plaques
Bhutan Cypress,Cupressus torulosa,2015-04-15,-37.83068181004943,144.97431139005897,extremely disabled war veterans,plaques
Calabrian Pine,Pinus brutia,2017-05-11,-37.829800724379325,144.97382920275578,24th battalion a.i.f,plaques
Willow myrtle,Agonis flexuosa,1998-07-09,-37.82975682940348,144.97207533545608,2/24th australian infantry battalion,plaques
Stone Pine,Pinus pinea,2010-08-30,-37.83141323463639,144.9723395986132,far east strategic reserve navy association,plaques
Bhutan Cypress,Cupressus torulosa,1998-02-09,-37.831366427557256,144.97408064762647,hmas culgoa bay,plaques
Yellow Gum,Eucalyptus leucoxylon,2015-06-25,-37.82990684984977,144.9721523517472,4th field ambulance,plaques
Algerian Oak,Quercus canariensis,1998-03-09,-37.831916327028544,144.9745888345601,h.m.a.s. goorangai and minesweepers,plaques
River Red Gum,Eucalyptus camaldulensis,2010-09-10,-37.83132465843516,144.9718378868724,31 sqdn beaufighter raaf,plaques
Golden Poplar,Populus x canadensis,1998-07-09,-37.83219314932881,144.97325244914717,2/31st australian infantry battalion 25 brigade - 7 division,plaques
tba,Olea europaea,1998-04-09,-37.83059672278496,144.97461424222743,crete,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.8279012559137,144.97234428165532,14th battalion,plaques
Sheoak,Casuarina unknown,1998-07-09,-37.82950837434538,144.97201249016175,royal aust. survey corps,plaques
,,,-37.83107873535637,144.97296333109736,the 1953 australian coronation contingent,plaques
Golden Poplar,Populus x canadensis,1998-07-09,-37.828517978361376,144.97300125995406,infantry 58th battalion,plaques
Spotted Gum,Corymbia maculata,2000-01-02,-37.828133111445666,144.9728404590866,infantry 59th battalion,plaques
