latitude,longitude,type,info,category
-37.8452141594852,144.98256140204748,Leaf Type / Dog Bowl ,Fawkner Park,drinking_fountains
-37.81047950700537,144.96434622822136,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.795526766864704,144.93075415955866,Stainless Steel Drinking Fountain / Leaf Type,Bellair Street Reserve,drinking_fountains
-37.800491981075275,144.96374391208968,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.82024273028081,144.95962780503942,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.82022017744959,144.94480746086566,Stainless Steel Drinking Fountain / Northbank Type,,drinking_fountains
-37.81232314728076,144.98893301349375,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.795594738274296,144.9691367333386,Stainless Steel Drinking Fountain / Leaf Type,Neill Street Reserve,drinking_fountains
-37.79622591094481,144.92675323715673,Historic or Heritage Drinking Fountains / Warun Biik Park,,drinking_fountains
-37.79125129687361,144.93147576642454,Drinking Fountain / Type 1,,drinking_fountains
-37.79166434549512,144.95175691050537,Leaf Type / Dog Bowl ,Royal Park,drinking_fountains
-37.828809493040296,144.97413127261856,Stainless Steel Drinking Fountain / Leaf Type,Kings Domain South,drinking_fountains
-37.82099191418598,144.9617423793966,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.813705889407565,144.9749027278744,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.83249800027375,144.97285892460977,Historic or Heritage Drinking Fountains / Shrine Gardens,,drinking_fountains
-37.80633683559588,144.9590744803669,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.786067144628724,144.96306993513306,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.81437201868546,144.96613327636365,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.81840304050843,144.97885934809221,Drinking Fountain / Monument Style Type 3,,drinking_fountains
-37.81649090115357,144.98515748991457,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.79407412774661,144.93082898880024,Stainless Steel Drinking Fountain / Leaf Type,Eastwood and Rankins Park,drinking_fountains
-37.807863918393416,144.96107434937468,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.81607983975034,144.93862697161046,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.81328717472797,144.9892411598799,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.80530265416531,144.96955831322754,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.815447719564624,144.96705501075527,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.839918521598555,144.9812959600913,Leaf Type / Dog Bowl,Fawkner Park,drinking_fountains
-37.81367564418339,144.98268520584864,Leaf Type / With Bottle Refill Tap,Fitzroy Gardens,drinking_fountains
-37.82087279535316,144.94185586107258,Stainless Steel Drinking Fountain / Old Docklands Type,,drinking_fountains
-37.815558943545426,144.93989772357784,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.78144167402145,144.95595472988092,Stainless Steel Drinking Fountain / Leaf Type,Royal Park,drinking_fountains
-37.78559620252012,144.96932282550418,Drinking Fountain / Monument Style Type 2,Hardy Reserve,drinking_fountains
-37.82424533734149,144.97698410547824,Leaf Type / Dog Bowl ,Kings Domain,drinking_fountains
-37.81010993947886,144.95363625566395,Leaf Type / Dog Bowl ,Flagstaff Gardens,drinking_fountains
-37.8020146095429,144.9605723948678,Historic or Heritage fountains / University Square,,drinking_fountains
-37.7881098191695,144.95949172029708,Leaf Type / With Bottle Refill Tap,Princes Park,drinking_fountains
-37.77732383776788,144.9531895231545,Stainless Steel Drinking Fountain / Leaf Type,Royal Park,drinking_fountains
-37.82168006484173,144.9700370336942,Leaf Type / With Bottle Refill Tap,Queen Victoria Gardens,drinking_fountains
-37.82605853691661,144.9615312833258,Stainless Steel Drinking Fountain / Leaf Type,Boyd Community Hub,drinking_fountains
-37.827087271632976,144.98504460154422,Historic or Heritage Drinking Fountains / Alexandra Park,,drinking_fountains
-37.819734518071364,144.9475652363716,Stainless Steel Drinking Fountain / Leaf Type,Hub@Docklands,drinking_fountains
-37.82017775836843,144.9480020326732,Leaf Type / With Bottle Refill Tap,Hub@Docklands,drinking_fountains
-37.78413055442304,144.9561695135437,Leaf Type / Dog Bowl ,Royal Park,drinking_fountains
-37.78866797179563,144.96246173875772,Leaf Type / With Bottle Refill Tap,Princes Park,drinking_fountains
-37.79256416270773,144.922630804458,Leaf Type / With Bottle Refill Tap,Peppercorn Park,drinking_fountains
