address,latitude,created_date,longitude,organisation,classification,name,category,title,type,website,tree_common_name,tree_scientific_name,date_of_tree_planted,theme,sub_theme,geometry,location_id
Queen Victoria Gardens,-37.82239149972142,2013,144.97029065221597,City of Melbourne,Sculpture,Frog,artworks,,,,,,,,,POINT (144.97029065221597 -37.82239149972142),28
Birrarung Marr,-37.8186665820053,2002,144.97410019862608,City of Melbourne,Sculpture,Federation Bells,artworks,,,,,,,,,POINT (144.97410019862608 -37.8186665820053),127
"J J Holland Park approximately 51m SW of Kensington Community Recreation Centre, Kensington Community Centre, 111 Altona Street, Kensington, 3031",-37.79662907585139,2006,144.924306747344,City of Melbourne,Sculpture,Commonwealth Games Aquatic Sculptures - Eels,artworks,,,,,,,,,POINT (144.924306747344 -37.79662907585139),85
"Royal Park approximately 66m SE of Monaro, 5 Southgate Street, Parkville, 3052",-37.78958485485513,2013,144.94300677170517,City of Melbourne,Sculpture,Fruition,artworks,,,,,,,,,POINT (144.94300677170517 -37.78958485485513),121
Royal Park,-37.782561322013,1995,144.95329393076508,City of Melbourne,Sculpture,Zoo Paving,artworks,,,,,,,,,POINT (144.95329393076508 -37.782561322013),121
"Kings Domain approximately 79m East of Marquis of Linlithgow Memorial Reserve, St Kilda Road, Melbourne, 3004",-37.826773338974526,1950,144.972752128938,City of Melbourne,Sculpture,Sir John Monash,artworks,,,,,,,,,POINT (144.972752128938 -37.826773338974526),115
"13 Harbour Esplanade, DOCKLANDS",-37.8220182164578,2005,144.946871022845,Beveridge Williams Surveyors,Art,Blowhole,artworks,,,,,,,,,POINT (144.946871022845 -37.8220182164578),8
"200 Little Collins Street, MELBOURNE",-37.8140548689972,1864,144.96733868317,City of Melbourne,Art,Bandstand,artworks,,,,,,,,,POINT (144.96733868317 -37.8140548689972),98
"Birrarung Marr, MELBOURNE",-37.8186738864394,2002,144.974167165492,City of Melbourne,Art,Federation Bells,artworks,,,,,,,,,POINT (144.974167165492 -37.8186738864394),127
"98 Swanston Street, MELBOURNE",-37.8151582937289,1992,144.966495940551,City of Melbourne,Art,Coat of Arms,artworks,,,,,,,,,POINT (144.966495940551 -37.8151582937289),4
"208 St Kilda Road, SOUTHBANK",-37.8236122113264,1908,144.970418561306,City of Melbourne,Monument,Edmund Fitzgibbon Memorial,artworks,,,,,,,,,POINT (144.970418561306 -37.8236122113264),28
"687 La Trobe Street, DOCKLANDS",-37.8153623400158,1999,144.946876084269,VicUrban (Docklands),Art,Threaded Field,artworks,,,,,,,,,POINT (144.946876084269 -37.8153623400158),78
"44 Swanston Street, MELBOURNE",-37.8164236569551,1993,144.967061542145,City of Melbourne,Art,Beyond the Ocean of Existence,artworks,,,,,,,,,POINT (144.967061542145 -37.8164236569551),41
"102 Swanston Street, MELBOURNE",-37.815081401373,1992,144.966458869013,City of Melbourne,Art,Coat of Arms,artworks,,,,,,,,,POINT (144.966458869013 -37.815081401373),4
"348 Bourke Street, MELBOURNE",-37.8140976855607,1994,144.963400769342,City of Melbourne,Art,The Public Purse,artworks,,,,,,,,,POINT (144.963400769342 -37.8140976855607),2
"15 Harbour Esplanade, DOCKLANDS",-37.8218628257359,2005,144.947009412249,Beveridge Williams Surveyors,Art,Blowhole,artworks,,,,,,,,,POINT (144.947009412249 -37.8218628257359),8
"Old Observatory Site, Birdwood Avenue, MELBOURNE",-37.8297554405406,1965,144.974419726206,City of Melbourne,Monument,Edward George Honey Memorial,artworks,,,,,,,,,POINT (144.974419726206 -37.8297554405406),115
"443 Collins Street, MELBOURNE",-37.8176597509552,1978,144.959772957148,City of Melbourne,Monument,John Batman Memorial (2),artworks,,,,,,,,,POINT (144.959772957148 -37.8176597509552),36
"55B Newquay Promenade, DOCKLANDS",-37.8150960305524,2003,144.941483193022,VicUrban (Docklands),Art,Silence,artworks,,,,,,,,,POINT (144.941483193022 -37.8150960305524),12
"55B Newquay Promenade, DOCKLANDS",-37.8151070586048,2003,144.941546516146,VicUrban (Docklands),Art,Silence,artworks,,,,,,,,,POINT (144.941546516146 -37.8151070586048),12
"11 Old Poplar Road, PARKVILLE",-37.7825613531513,1995,144.953293881649,City of Melbourne,Art,Zoo Paving,artworks,,,,,,,,,POINT (144.953293881649 -37.7825613531513),121
"Birrarung Marr, Batman Avenue, MELBOURNE",-37.8189109575006,1936,144.973021274734,City of Melbourne,Monument,Stapley Memorial Drinking Fountain,artworks,,,,,,,,,POINT (144.973021274734 -37.8189109575006),127
"173 Swanston Street, MELBOURNE",-37.8136854004532,1993,144.965574539781,City of Melbourne,Art,Three Businessmen Who Brought Their Own Lunch,artworks,,,,,,,,,POINT (144.965574539781 -37.8136854004532),2
"Queen Victoria Gardens, St Kilda Road, MELBOURNE",-37.822086065767,1973,144.971811018826,City of Melbourne,Art,Lake Waterfall,artworks,,,,,,,,,POINT (144.971811018826 -37.822086065767),28
"684 Park Street, CARLTON NORTH",-37.7788722549869,1995,144.961103719498,City of Melbourne,Art,Within Three Worlds,artworks,,,,,,,,,POINT (144.961103719498 -37.7788722549869),44
"Enterprize Park, MELBOURNE",-37.8200765201921,2001,144.959699691425,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,POINT (144.959699691425 -37.8200765201921),131
"18 Spring Street, EAST MELBOURNE",-37.8136729461963,1902,144.97434487547,City of Melbourne,Monument,Sir William John Clarke,artworks,,,,,,,,,POINT (144.97434487547 -37.8136729461963),17
"5 Jeffcott Street, WEST MELBOURNE",-37.8114750198729,1995,144.953165492089,City of Melbourne,Art,City Living,artworks,,,,,,,,,POINT (144.953165492089 -37.8114750198729),132
"114 Russell Street, MELBOURNE",-37.8136957980367,1996,144.968513035861,City of Melbourne,Art,Ceremony and Vehicle for Conveying Spirit,artworks,,,,,,,,,POINT (144.968513035861 -37.8136957980367),21
"Queen Victoria Gardens, St Kilda Road, MELBOURNE",-37.8221241223436,c. 1970,144.970661980986,City of Melbourne,Art,Water Children,artworks,,,,,,,,,POINT (144.970661980986 -37.8221241223436),28
"Enterprize Park, MELBOURNE",-37.8200614090425,2001,144.959718171092,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,POINT (144.959718171092 -37.8200614090425),131
"Enterprize Park, MELBOURNE",-37.8200953335,2001,144.959704036718,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,POINT (144.959704036718 -37.8200953335),131
"74 Spring Street, EAST MELBOURNE",-37.8127260372375,1887,144.973942531552,City of Melbourne,Monument,General Charles Gordon Memorial,artworks,,,,,,,,,POINT (144.973942531552 -37.8127260372375),17
"Enterprize Park, MELBOURNE",-37.8200830248455,2001,144.959725218101,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,POINT (144.959725218101 -37.8200830248455),131
"Enterprize Park, MELBOURNE",-37.8201002457889,2001,144.959733080966,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,POINT (144.959733080966 -37.8201002457889),131
"Enterprize Park, MELBOURNE",-37.8200785738744,2001,144.959627380846,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,POINT (144.959627380846 -37.8200785738744),131
"684 Park Street, CARLTON NORTH",-37.7789311799623,1995,144.961158146237,City of Melbourne,Art,Within Three Worlds,artworks,,,,,,,,,POINT (144.961158146237 -37.7789311799623),44
"88 Spring Street, EAST MELBOURNE",-37.8124342889143,c. 1870,144.973955482708,City of Melbourne,Fountain,Stanford Fountain,artworks,,,,,,,,,POINT (144.973955482708 -37.8124342889143),18
"262 St Kilda Road, SOUTHBANK",-37.8263011410214,1960,144.972818912121,City of Melbourne,Monument,Sir Thomas Blamey Memorial,artworks,,,,,,,,,POINT (144.972818912121 -37.8263011410214),115
"335 Swanston Street, MELBOURNE",-37.8103720817164,1994,144.964076502567,City of Melbourne,Art,Resting Place,artworks,,,,,,,,,POINT (144.964076502567 -37.8103720817164),66
"147 Russell Street, MELBOURNE",-37.8130493620338,1993,144.968210969062,City of Melbourne,Art,"A History Apparatus - Vessel, Craft & Beacon",artworks,,,,,,,,,POINT (144.968210969062 -37.8130493620338),21
"154 Collins Street, MELBOURNE",-37.8148051249324,1994-1995,144.968381003481,City of Melbourne,Art,"Another View, Site 17",artworks,,,,,,,,,POINT (144.968381003481 -37.8148051249324),98
"422 Flinders Street, MELBOURNE",-37.8194133196692,1994,144.960198717453,City of Melbourne,Art,"Another View, Site 8",artworks,,,,,,,,,POINT (144.960198717453 -37.8194133196692),131
"96 Harbour Esplanade, DOCKLANDS",-37.8186937927645,2005,144.946856332947,Qasco,Art,Aurora,artworks,,,,,,,,,POINT (144.946856332947 -37.8186937927645),10
"15 Victoria Harbour Promenade, DOCKLANDS",-37.8188433297473,2006,144.945067618085,VicUrban (Docklands),Art,Aqualung,artworks,,,,,,,,,POINT (144.945067618085 -37.8188433297473),10
"152 Clarendon Street, EAST MELBOURNE",-37.8118220481066,1970,144.982657048965,City of Melbourne,Art,Australia Today and Tomorrow,artworks,,,,,,,,,POINT (144.982657048965 -37.8118220481066),94
"324 Swanston Street, MELBOURNE",-37.8098275629139,1992,144.96404608881,City of Melbourne,Art,Architectural Fragment,artworks,,,,,,,,,POINT (144.96404608881 -37.8098275629139),66
"80 Rathdowne Street, CARLTON",-37.7982578658973,1916,144.970564664826,City of Melbourne,Monument,William Ievers Junior Memorial Drinking Fountain,artworks,,,,,,,,,POINT (144.970564664826 -37.7982578658973),50
"254 St Kilda Road, SOUTHBANK",-37.8259414951225,1904,144.971856818756,City of Melbourne,Monument,South African War Memorial,artworks,,,,,,,,,POINT (144.971856818756 -37.8259414951225),114
"6 The Avenue, PARKVILLE",-37.7889280817664,1890,144.956058081184,City of Melbourne,Monument,Burke and Wills Cairn,artworks,,,,,,,,,POINT (144.956058081184 -37.7889280817664),121
"Birrarung Marr, MELBOURNE",-37.8186610069437,2002,144.97413082954,City of Melbourne,Art,Federation Bells,artworks,,,,,,,,,POINT (144.97413082954 -37.8186610069437),127
"41 Caravel Lane, DOCKLANDS",-37.81464277494,2006,144.940402722846,VicUrban (Docklands),Art,Ned and Dan,artworks,,,,,,,,,POINT (144.940402722846 -37.81464277494),11
"52 River Esplanade, DOCKLANDS",-37.8243371974094,2003,144.947619116755,VicUrban (Docklands),Art,HeartLand,artworks,,,,,,,,,POINT (144.947619116755 -37.8243371974094),8
"698 Collins Street, DOCKLANDS",-37.8198227493892,2003,144.951104886543,VicUrban (Docklands),Art,Feng Shui,artworks,,,,,,,,,POINT (144.951104886543 -37.8198227493892),9
"353 Exhibition Street, MELBOURNE",-37.8074703867589,1901,144.968593306036,City of Melbourne,Fountain,Grant's Fountain,artworks,,,,,,,,,POINT (144.968593306036 -37.8074703867589),30
"IMAX Theatre, Rathdowne Street, CARLTON",-37.8037692024891,1997,144.972134286246,City of Melbourne,Art,Lie of the Land,artworks,,,,,,,,,POINT (144.972134286246 -37.8037692024891),37
"Enterprize Park, MELBOURNE",-37.8201003379632,2001,144.959547579868,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,POINT (144.959547579868 -37.8201003379632),131
"Enterprize Park, MELBOURNE",-37.8201540531024,2001,144.959283942501,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,POINT (144.959283942501 -37.8201540531024),131
"162 Clarendon Street, EAST MELBOURNE",-37.8115435409616,1863,144.982950898766,City of Melbourne,Fountain,Grey Street Fountain,artworks,,,,,,,,,POINT (144.982950898766 -37.8115435409616),94
"152 Collins Street, MELBOURNE",-37.8147653368517,1981,144.968373912562,City of Melbourne,Fountain,Georges Fountain,artworks,,,,,,,,,POINT (144.968373912562 -37.8147653368517),98
"4 Lansdowne Street, EAST MELBOURNE",-37.8110235407409,1978-1979,144.978389216138,City of Melbourne,Art,People's Path,artworks,,,,,,,,,POINT (144.978389216138 -37.8110235407409),94
"50 Newquay Promenade, DOCKLANDS",-37.8150603527985,2003,144.941593770341,VicUrban (Docklands),Art,Silence,artworks,,,,,,,,,POINT (144.941593770341 -37.8150603527985),12
"55B Newquay Promenade, DOCKLANDS",-37.8151593795233,2003,144.941509412449,VicUrban (Docklands),Art,Silence,artworks,,,,,,,,,POINT (144.941509412449 -37.8151593795233),12
"110 Victoria Parade, EAST MELBOURNE",-37.8082489459354,1937,144.975315385075,City of Melbourne,Monument,Samuel Mauger Drinking Fountain,artworks,,,,,,,,,POINT (144.975315385075 -37.8082489459354),40
"10 Spring Street, EAST MELBOURNE",-37.814373582353,1903,144.974720032667,City of Melbourne,Monument,Robert Burns Memorial,artworks,,,,,,,,,POINT (144.974720032667 -37.814373582353),75
"219 Swanston Street, MELBOURNE",-37.812705684744,1996,144.965153944033,City of Melbourne,Art,The Echo,artworks,,,,,,,,,POINT (144.965153944033 -37.812705684744),19
"55B Newquay Promenade, DOCKLANDS",-37.8150877523684,2003,144.941573967784,VicUrban (Docklands),Art,Silence,artworks,,,,,,,,,POINT (144.941573967784 -37.8150877523684),12
"55B Newquay Promenade, DOCKLANDS",-37.81508276715,2003,144.941482783904,VicUrban (Docklands),Art,Silence,artworks,,,,,,,,,POINT (144.941482783904 -37.81508276715),12
"50 Newquay Promenade, DOCKLANDS",-37.8150528491189,2003,144.94158776112,VicUrban (Docklands),Art,Silence,artworks,,,,,,,,,POINT (144.94158776112 -37.8150528491189),12
"45 Newquay Promenade, DOCKLANDS",-37.8151131017782,2003,144.941629273114,VicUrban (Docklands),Art,Silence,artworks,,,,,,,,,POINT (144.941629273114 -37.8151131017782),12
"Birrarung Marr, MELBOURNE",-37.818595693813,2006,144.971821646868,City of Melbourne,Art,Birrarung Wilam,artworks,,,,,,,,,POINT (144.971821646868 -37.818595693813),7
"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",-37.8143892616922,c. 1850,144.979910150531,City of Melbourne,Art,Boy on a Turtle,artworks,,,,,,,,,POINT (144.979910150531 -37.8143892616922),116
"4 Lansdowne Street, EAST MELBOURNE",-37.8121217645873,unknown,144.97970321858,City of Melbourne,Fountain,Boy and Urn,artworks,,,,,,,,,POINT (144.97970321858 -37.8121217645873),94
"Birrarung Marr, MELBOURNE",-37.8187023628084,2002,144.974201916576,City of Melbourne,Art,Federation Bells,artworks,,,,,,,,,POINT (144.974201916576 -37.8187023628084),127
"184 Swanston Street, MELBOURNE",-37.8134422577685,1993,144.965689009116,City of Melbourne,Art,Weathervanes,artworks,,,,,,,,,POINT (144.965689009116 -37.8134422577685),1
"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",-37.8138743431045,c. 1900,144.978595506099,City of Melbourne,Fountain,Conservatory Fountain,artworks,,,,,,,,,POINT (144.978595506099 -37.8138743431045),95
"469 Flinders Street, MELBOURNE",-37.8202999349125,1996,144.960534464342,City of Melbourne,Art,Constellation,artworks,,,,,,,,,POINT (144.960534464342 -37.8202999349125),14
"Royal Mail House, cnr Bourke & Swanston Sts, MELBOURNE",-37.8136024551412,2008,144.965808885624,City of Melbourne,Art,Maxims of Behaviour,artworks,,,,,,,,,POINT (144.965808885624 -37.8136024551412),45
"Enterprize Park, MELBOURNE",-37.82012299082,2001,144.959360068025,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,POINT (144.959360068025 -37.82012299082),131
"13 Harbour Esplanade, DOCKLANDS",-37.8219853561923,2005,144.946774675143,Beveridge Williams Surveyors,Art,Blowhole,artworks,,,,,,,,,POINT (144.946774675143 -37.8219853561923),8
"242 St Kilda Road, SOUTHBANK",-37.8253098347073,1995,144.971594300075,City of Melbourne,Monument,"Sir Edward ""Weary"" Dunlop",artworks,,,,,,,,,POINT (144.971594300075 -37.8253098347073),28
"684 Park Street, CARLTON NORTH",-37.7788627462445,1995,144.961112677408,City of Melbourne,Art,Within Three Worlds,artworks,,,,,,,,,POINT (144.961112677408 -37.7788627462445),44
"156 Harbour Esplanade, DOCKLANDS",-37.8158205285983,2000,144.946136474106,VicUrban (Docklands),Art,Art Wall,artworks,,,,,,,,,POINT (144.946136474106 -37.8158205285983),78
"160 Harbour Esplanade, DOCKLANDS",-37.8156948270259,2000,144.946202651563,VicUrban (Docklands),Art,Art Wall,artworks,,,,,,,,,POINT (144.946202651563 -37.8156948270259),78
"9 Waterview Walk, DOCKLANDS",-37.8200830017644,2005,144.947894374833,Beveridge Williams Surveyors,Art,IOU,artworks,,,,,,,,,POINT (144.947894374833 -37.8200830017644),10
"4 Lansdowne Street, EAST MELBOURNE",-37.8118884344659,1982,144.980015806146,City of Melbourne,Fountain,Dolphin Fountain,artworks,,,,,,,,,POINT (144.980015806146 -37.8118884344659),94
"22 Wurundjeri Way, DOCKLANDS",-37.8207247436456,2003,144.952391322514,VicUrban (Docklands),Art,Eagle,artworks,,,,,,,,,POINT (144.952391322514 -37.8207247436456),9
"512 Elizabeth Street, MELBOURNE",-37.806629256046,1901,144.959908916093,City of Melbourne,Monument,Duke and Duchess of York Memorial,artworks,,,,,,,,,POINT (144.959908916093 -37.806629256046),82
"178 Swanston Street, MELBOURNE",-37.8135755457342,1993,144.965751391423,City of Melbourne,Art,Weathervanes,artworks,,,,,,,,,POINT (144.965751391423 -37.8135755457342),1
"271 Bourke Street, MELBOURNE",-37.8136266014549,1993,144.965579210749,City of Melbourne,Art,Weathervanes,artworks,,,,,,,,,POINT (144.965579210749 -37.8136266014549),1
"27 Caravel Lane, DOCKLANDS",-37.814359230579,2006,144.941130138162,VicUrban (Docklands),Art,Outside Inside Out,artworks,,,,,,,,,POINT (144.941130138162 -37.814359230579),12
"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",-37.8132572520671,1948,144.981012379899,City of Melbourne,Art,Model Tudor Village,artworks,,,,,,,,,POINT (144.981012379899 -37.8132572520671),94
"Kensington Community Recreation Centre, KENSINGTON",-37.7966290593729,2006,144.924306764698,City of Melbourne,Art,Commonwealth Games Aquatic Sculptures - Eels,artworks,,,,,,,,,POINT (144.924306764698 -37.7966290593729),85
"439 Queen Street, MELBOURNE",-37.8081354860573,unknown,144.957645863417,City of Melbourne,Monument,John Batman Memorial (1),artworks,,,,,,,,,POINT (144.957645863417 -37.8081354860573),51
"Shrine Of Remembrance Reserve, St Kilda Road, MELBOURNE",-37.8294820404839,1935,144.973858477761,City of Melbourne,Monument,Man with the Donkey,artworks,,,,,,,,,POINT (144.973858477761 -37.8294820404839),115
"Cohen Pl, CHINATOWN",-37.8112537359422,unknown,144.969347727216,City of Melbourne,Art,Chinese Lion Guardians,artworks,,,,,,,,,POINT (144.969347727216 -37.8112537359422),20
"Enterprize Park, MELBOURNE",-37.8202194220305,2001,144.959168439493,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,POINT (144.959168439493 -37.8202194220305),131
"Queen Victoria Gardens, St Kilda Road, MELBOURNE",-37.8226717982934,1920,144.970988232874,City of Melbourne,Monument,King Edward VII Memorial,artworks,,,,,,,,,POINT (144.970988232874 -37.8226717982934),28
"252 Little Collins Street, MELBOURNE",-37.8143983948935,1994,144.96625088381,City of Melbourne,Art,Time and Tide,artworks,,,,,,,,,POINT (144.96625088381 -37.8143983948935),99
"Birrarung Marr, MELBOURNE",-37.8191221824373,2003,144.97407578866,City of Melbourne,Art,Eel Trap,artworks,,,,,,,,,POINT (144.97407578866 -37.8191221824373),127
"268 St Kilda Road, SOUTHBANK",-37.8266640358872,1911,144.971916610826,City of Melbourne,Monument,Marquis of Linlithgow,artworks,,,,,,,,,POINT (144.971916610826 -37.8266640358872),114
"47 Wurundjeri Way, DOCKLANDS",-37.8196059887556,2002,144.951325455868,VicUrban (Docklands),Art,Parrallax,artworks,,,,,,,,,POINT (144.951325455868 -37.8196059887556),9
"Birrarung Marr, MELBOURNE",-37.8186666064737,2002,144.974100167285,City of Melbourne,Art,Federation Bells,artworks,,,,,,,,,POINT (144.974100167285 -37.8186666064737),127
"Enterprize Park, MELBOURNE",-37.8200950553396,2001,144.95952896712,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,POINT (144.95952896712 -37.8200950553396),131
"15 Batmans Hill Drive, DOCKLANDS",-37.8217401147159,2006,144.949142099572,Qasco,Art,Car Nuggets,artworks,,,,,,,,,POINT (144.949142099572 -37.8217401147159),8
"Enterprize Park, MELBOURNE",-37.820084055671,2001,144.959593881825,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,POINT (144.959593881825 -37.820084055671),131
"517 Albert Street, EAST MELBOURNE",-37.8097706189194,1981,144.973483976518,City of Melbourne,Fountain,Coles Fountain,artworks,,,,,,,,,POINT (144.973483976518 -37.8097706189194),40
"Alexandra Gardens, St Kilda Road, MELBOURNE",-37.8195705617737,1974,144.971824407255,City of Melbourne,Monument,Black Swan Memorial Drinking Fountain,artworks,,,,,,,,,POINT (144.971824407255 -37.8195705617737),7
"Birrarung Marr, MELBOURNE",-37.8186973319473,2002,144.974158800684,City of Melbourne,Art,Federation Bells,artworks,,,,,,,,,POINT (144.974158800684 -37.8186973319473),127
"Birrarung Marr, MELBOURNE",-37.8186882333343,2002,144.974128540287,City of Melbourne,Art,Federation Bells,artworks,,,,,,,,,POINT (144.974128540287 -37.8186882333343),127
"104 Swanston Street, MELBOURNE",-37.8150481212229,1992,144.966444170774,City of Melbourne,Art,Coat of Arms,artworks,,,,,,,,,POINT (144.966444170774 -37.8150481212229),4
"Birrarung Marr, MELBOURNE",-37.8187157253887,2002,144.974141691478,City of Melbourne,Art,Federation Bells,artworks,,,,,,,,,POINT (144.974141691478 -37.8187157253887),127
"12 Georgiana Street, DOCKLANDS",-37.821493403054,2006,144.950437271721,VicUrban (Docklands),Art,The Wave,artworks,,,,,,,,,POINT (144.950437271721 -37.821493403054),9
"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",-37.8145792919449,1973,144.979494361804,City of Melbourne,Monument,Captain Cook,artworks,,,,,,,,,POINT (144.979494361804 -37.8145792919449),95
"Birrarung Marr, MELBOURNE",-37.8187628091159,2002,144.974136155999,City of Melbourne,Art,Federation Bells,artworks,,,,,,,,,POINT (144.974136155999 -37.8187628091159),127
"Queen Victoria Gardens, St Kilda Road, MELBOURNE",-37.8221532701427,1973,144.97095067818,City of Melbourne,Art,The Phoenix,artworks,,,,,,,,,POINT (144.97095067818 -37.8221532701427),28
"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",-37.813953837555,1933,144.978577485077,City of Melbourne,Art,Statue of Meditation,artworks,,,,,,,,,POINT (144.978577485077 -37.813953837555),95
"37 Collins Street, MELBOURNE",-37.8137257454688,1905,144.972615474,City of Melbourne,Art,Bust of Sir Samuel Gillott,artworks,,,,,,,,,POINT (144.972615474 -37.8137257454688),18
"Birrarung Marr, MELBOURNE",-37.8187404835153,2002,144.974102781582,City of Melbourne,Art,Federation Bells,artworks,,,,,,,,,POINT (144.974102781582 -37.8187404835153),127
266 Macpherson Street,-37.7852874613137,1910,144.966190055728,City of Melbourne,Monument,Councillor William Cook Memorial Drinking Fountain,artworks,,,,,,,,,POINT (144.966190055728 -37.7852874613137),44
"Kings Domain, Alexandra Avenue, MELBOURNE",-37.8242726516388,1952,144.973213430025,City of Melbourne,Monument,King George V,artworks,,,,,,,,,POINT (144.973213430025 -37.8242726516388),110
"685 La Trobe Street, DOCKLANDS",-37.815324414746,1999,144.9470729338,VicUrban (Docklands),Art,Threaded Field,artworks,,,,,,,,,POINT (144.9470729338 -37.815324414746),78
"683 La Trobe Street, DOCKLANDS",-37.8152785788316,1999,144.947248109473,VicUrban (Docklands),Art,Threaded Field,artworks,,,,,,,,,POINT (144.947248109473 -37.8152785788316),78
"88 Clarendon Street, EAST MELBOURNE",-37.8134099807547,1934,144.98110228888,City of Melbourne,Art,Fairies Tree,artworks,,,,,,,,,POINT (144.98110228888 -37.8134099807547),94
"395 King Street, WEST MELBOURNE",-37.810801327848,1871,144.953954497374,City of Melbourne,Monument,Pioneer Monument,artworks,,,,,,,,,POINT (144.953954497374 -37.810801327848),132
"394 William Street, MELBOURNE",-37.81026401562,unknown,144.955039032582,City of Melbourne,Art,The Court Favourite,artworks,,,,,,,,,POINT (144.955039032582 -37.81026401562),109
"399 Russell Street, MELBOURNE",-37.8071550195592,1900-1903,144.965588387005,City of Melbourne,Monument,Eight Hour Day Memorial,artworks,,,,,,,,,POINT (144.965588387005 -37.8071550195592),61
"Birrarung Marr, MELBOURNE",-37.8185922758306,2006,144.971796362269,City of Melbourne,Art,Birrarung Wilam,artworks,,,,,,,,,POINT (144.971796362269 -37.8185922758306),7
"Birrarung Marr, MELBOURNE",-37.8185872210924,2006,144.971784281509,City of Melbourne,Art,Birrarung Wilam,artworks,,,,,,,,,POINT (144.971784281509 -37.8185872210924),7
46 Nicholson Street,-37.8058096647951,1965,144.972528813493,City of Melbourne,Fountain,Spray Lake,artworks,,,,,,,,,POINT (144.972528813493 -37.8058096647951),40
"155 Lygon Street, CARLTON",-37.8028341939653,1915,144.966385536842,City of Melbourne,Monument,William Ievers Senior Memorial Drinking Fountain,artworks,,,,,,,,,POINT (144.966385536842 -37.8028341939653),37
"Lincoln Square, Swanston Street, CARLTON",-37.8024840905196,2003,144.963242826387,City of Melbourne,Fountain,Bali Memorial,artworks,,,,,,,,,POINT (144.963242826387 -37.8024840905196),54
"152 Spring Street, EAST MELBOURNE",-37.8112942929369,1994,144.973168986334,City of Melbourne,Art,"Another View, Site 1",artworks,,,,,,,,,POINT (144.973168986334 -37.8112942929369),40
"90 St Kilda Road, SOUTHBANK",-37.8210593434182,unknown,144.969757432433,City of Melbourne,Art,Apollo Belvedere,artworks,,,,,,,,,POINT (144.969757432433 -37.8210593434182),28
"760 Bourke Street, DOCKLANDS",-37.8182323264616,2005,144.947444643152,Qasco,Art,Anchor,artworks,,,,,,,,,POINT (144.947444643152 -37.8182323264616),10
"Kings Domain, Birdwood Ave, MELBOURNE",-37.8272124550956,2001,144.972973880253,City of Melbourne,Monument,Australian Hellenic War Memorial,artworks,,,,,,,,,POINT (144.972973880253 -37.8272124550956),115
"64 Therry Street, MELBOURNE",-37.8072519167223,1995,144.959230533317,City of Melbourne,Art,Wind Contrivance,artworks,,,,,,,,,POINT (144.959230533317 -37.8072519167223),49
"51 Grant Street, SOUTHBANK",-37.8260714214476,1980,144.967732756918,City of Melbourne,Art,Vault,artworks,,,,,,,,,POINT (144.967732756918 -37.8260714214476),28
76 Canning Street,-37.7949047942895,1995,144.940383521588,City of Melbourne,Art,Hotham Hill Paving Inlay,artworks,,,,,,,,,POINT (144.940383521588 -37.7949047942895),76
"15 Harbour Esplanade, DOCKLANDS",-37.8219335169736,2005,144.946938744265,Beveridge Williams Surveyors,Art,Blowhole,artworks,,,,,,,,,POINT (144.946938744265 -37.8219335169736),8
"Enterprize Park, MELBOURNE",-37.820149525359,2001,144.959318134551,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,POINT (144.959318134551 -37.820149525359),131
"76 Errol Street, NORTH MELBOURNE",-37.8033418056724,1877,144.949739183347,City of Melbourne,Art,Henderson Drinking Fountain,artworks,,,,,,,,,POINT (144.949739183347 -37.8033418056724),102
"125 Harbour Esplanade, DOCKLANDS",-37.8176052348949,2003,144.945539402201,AAMHatch,Art,Shoal Fly By,artworks,,,,,,,,,POINT (144.945539402201 -37.8176052348949),10
"215 Collins Street, MELBOURNE",-37.8155485668529,1992 and 1996,144.966892078324,City of Melbourne,Art,Larry LaTrobe,artworks,,,,,,,,,POINT (144.966892078324 -37.8155485668529),65
"17 Waterview Walk, DOCKLANDS",-37.8191896959513,2005,144.946998425444,Beveridge Williams Surveyors,Art,Continuum,artworks,,,,,,,,,POINT (144.946998425444 -37.8191896959513),10
