title,latitude,longitude,category
Speakers Corner,-37.8200825571427,144.975716690315,memorials
Water Children,-37.8221241231269,144.970661974148,memorials
Maxims of Behaviour,-37.8136024871974,144.965808843709,memorials
Another View Site 17,-37.8148050876298,144.968381035174,memorials
Vault,-37.826071391918,144.967732716827,memorials
Thomas Ferguson Memorial Drinking Fountain,-37.8015394788479,144.960227248561,memorials
Sundial,-37.810316205825,144.954937510299,memorials
James C Roberts Memorial,-37.7891381551832,144.957053770245,memorials
Marquis of Linlithgow,-37.8266640563688,144.971916648894,memorials
Commonwealth Games Aquatic Sculptures - Eels,-37.7966290758514,144.924306747344,memorials
South African War Memorial (Memorial to Fallen Soldiers),-37.8259414540802,144.97185679034,memorials
Macpherson-Robertson Fountain,-37.8323774586129,144.972934260924,memorials
Councillor William Cook Memorial Drinking Fountain,-37.7852874728369,144.966190018508,memorials
Sir Samuel Gillott,-37.8137257364725,144.972615422561,memorials
Sir William John Clarke,-37.8136729531192,144.974344858809,memorials
Victorian Rowing Association World War 1 Memorial,-37.8217592722394,144.974772591697,memorials
Henderson Drinking Fountain,-37.8033418230886,144.949739174347,memorials
Fairies Tree,-37.8134099717816,144.981102238575,memorials
Painted Poles,-37.8157562938546,144.966810376908,memorials
Mermaid and Fish,-37.8138419994948,144.98275871684,memorials
Spray Lake,-37.8058096513433,144.972528791144,memorials
Bird Panels,-37.7953526683028,144.940687345967,memorials
Passage,-37.8074524296746,144.958306716284,memorials
The Dolphin Fountain,-37.8118884444692,144.980015837679,memorials
The Court Favourite,-37.8102639884104,144.955039022542,memorials
Grollo Fountain,-37.8031427528281,144.969874382893,memorials
Pastor Sir Doug Nicholls and Lady Gladys Nicholls,-37.810023077877,144.973642112169,memorials
Dinny O'Hern Fountain,-37.7975991057745,144.967306523849,memorials
Silence,-37.8151070942136,144.94154651686,memorials
Miraggio [also known as Seated Figure],-37.82401351439,144.974151551243,memorials
Captain Matthew Flinders Statue,-37.8169633057911,144.967487592771,memorials
Faultline,-37.8211525147875,144.96423807327,memorials
William Ievers (Snr) Memorial Drinking Fountain,-37.8028341907642,144.966385560213,memorials
Adam Lindsay Gordon Memorial,-37.8123634964432,144.973745102602,memorials
Boy and Pelican,-37.8137675152884,144.982771762965,memorials
Janet Lady Clarke Memorial Sculpture,-37.8223354801052,144.971835314604,memorials
King Edward VII Memorial,-37.8226718035411,144.970988249771,memorials
Raising the Rattler Pole,-37.8209006645416,144.954692755363,memorials
Edward George Honey Memorial,-37.8297554644672,144.974419781225,memorials
The Water Nymph,-37.8222098042075,144.971335362099,memorials
Boy and Urn,-37.8121218036023,144.979703233987,memorials
