female,male,wheelchair,operator,baby_facil,latitude,longitude,type,address,category
yes,yes,yes,City of Melbourne,no,-37.81435831108069,144.94168216712015,"Saint Mangos Lane, The Palladio (New Quay)",,toilets
yes,yes,yes,City of Melbourne,no,-37.81746989209639,144.96025433528794,Toilet 4,Market Street (Opposite 74 Market Street),toilets
yes,yes,yes,City of Melbourne,no,-37.802645554985105,144.969821287215,Toilet 138,Carlton Gardens North (Opposite 199 Rathdowne Street),toilets
no,yes,no,City of Melbourne,no,-37.793011678725755,144.97399489761827,Toilet 133- Canning Street Reserve (49 Princes Street),,toilets
no,yes,no,City of Melbourne,no,-37.840147692965054,144.98138308753738,Toilet 102,"Fawkner Park, North Pavilion (Male)",toilets
yes,yes,yes,City of Melbourne,no,-37.798064023886866,144.92110584392117,Toilet 173,"JJ Holland Park, Skate Park (113 Kensington Road)",toilets
yes,yes,yes,City of Melbourne,U,-37.8129330992456,144.9600121469519,Toilet 36,Lonsdale Street (Opposite 424 Lonsdale Street),toilets
yes,yes,no,City of Melbourne,no,-37.79870959701599,144.96759388009733,Toilet 137,Faraday Street (Opposite 208-212 Faraday Street),toilets
yes,yes,no,City of Melbourne,no,-37.830132537548096,144.96501222835187,Toilet 105 -Sturt Street Reserve (280 Sturt Street),,toilets
yes,yes,no,City of Melbourne,no,-37.78187131786685,144.95614252894822,Royal Park Golf Course Club House,,toilets
yes,yes,no,City of Melbourne,no,-37.78848882114304,144.92356372197432,Newmarket Reserve (26 Smithfield Road),,toilets
yes,yes,yes,City of Melbourne,no,-37.81384641664995,144.97137409472109,Toilet 13,Exhibition Street (Opposite 77 Exhibition Street),toilets
yes,yes,yes,City of Melbourne,no,-37.7789496090064,144.96046591899102,Toilet 127,Princes Park Royal Parade (near Park Street),toilets
yes,yes,yes,City of Melbourne,no,-37.82100477977538,144.97593322373976,Toilet 111,Birrarung Marr Speakers Corner,toilets
yes,no,no,City of Melbourne,no,-37.84001779326322,144.9812270146221,Toilet 102,"Fawkner Park, North Pavilion (Female)",toilets
